time,open,high,low,close,volume
2020-08-22,2.8454,4.5244,2.8,4.5124,412174.13739576
2020-08-23,4.45,4.49,3.73,4.0525,72387.15546012
2020-08-24,3.9608,4.8068,3.85,4.5616,155406.53022897
2020-08-25,4.6008,5.7745,4.5331,5.5663,196568.06732059
2020-08-26,5.5997,6.5531,5.1216,6.0927,708247.58347428
2020-08-27,6.1086,6.7962,5.2442,5.6557,419914.11573258
2020-08-28,5.6984,6.352,5.5196,6.1709,528081.90646775
2020-08-29,6.1896,6.57,6.025,6.1437,385884.73367157
2020-08-30,6.1634,6.2342,5.7242,5.8566,174989.88438923
2020-08-31,5.9098,6.47,5.7714,6.3071,163816.62199478
2020-09-01,6.2964,6.859,6.1317,6.25,292558.16072672
2020-09-02,6.242,6.4338,5.5869,6.1326,261755.77991749
2020-09-03,6.1376,6.3129,5.5716,5.6901,344922.19229352
2020-09-04,5.7175,5.975,4.512,5.1399,517766.36076771
2020-09-05,5.1127,5.3136,3.592,4.1578,723703.8942763
2020-09-06,4.1192,4.917,3.75,4.801,365192.00416522
2020-09-07,4.8202,4.8202,4.0282,4.601,447472.034398
2020-09-08,4.6162,4.6302,4.1217,4.2738,242526.85709937
2020-09-09,4.2732,4.7972,4.1493,4.7007,162051.09829012
2020-09-10,4.7121,4.9014,4.4474,4.5794,173213.47412548
2020-09-11,4.616,4.7466,4.3172,4.6428,135200.40561245
2020-09-12,4.6581,5.2991,4.5059,5.1559,224685.43891362
2020-09-13,5.1476,5.4921,4.792,5.296,195246.894116
2020-09-14,5.3041,5.587,5.0998,5.3483,256709.7123061
2020-09-15,5.3721,5.4431,5.062,5.062,168105.66770351
2020-09-16,5.0507,5.2948,4.98,5.0852,111525.37354387
2020-09-17,5.0611,5.4337,5.0611,5.348,112417.40313524
2020-09-18,5.3347,5.4691,5.1079,5.2609,121369.69180325
2020-09-19,5.2597,5.2597,4.812,4.9371,133842.00099848
2020-09-20,4.9335,4.972,4.4167,4.6743,275451.44071074
2020-09-21,4.6677,4.7015,3.932,4.0802,565814.0006099
2020-09-22,4.062,4.2227,3.9106,4.1746,197343.61230448
2020-09-23,4.1683,4.3312,3.95,4.0183,148343.50852468
2020-09-24,3.9956,4.4767,3.979,4.3992,192138.80356192
2020-09-25,4.3963,4.534,4.2551,4.4307,88447.55079236
2020-09-26,4.4327,4.4848,4.2399,4.34,80802.79409732
2020-09-27,4.3321,4.3685,4.1236,4.3192,87204.77239782
2020-09-28,4.3188,4.5947,4.2674,4.4574,199684.93037199
2020-09-29,4.445,4.613,4.362,4.507,165354.60031429
2020-09-30,4.4975,4.4975,4.2574,4.3532,128655.89807912
2020-10-01,4.3593,4.5914,4.2499,4.3541,225982.12334612
2020-10-02,4.3216,4.367,3.8994,4.1222,362443.73985544
2020-10-03,4.1147,4.134,4.0355,4.0733,118773.89076044
2020-10-04,4.0689,4.2,4.0244,4.1805,169056.75036851
2020-10-05,4.1733,4.2472,4.1154,4.1692,94182.40511232
2020-10-06,4.1753,4.1844,3.61,3.7521,228419.61546285
2020-10-07,3.7436,3.8924,3.6058,3.8618,135393.96387078
2020-10-08,3.8618,4.1611,3.6447,4.1249,329284.86348728
2020-10-09,4.101,4.3541,4.0225,4.2644,258861.29024254
2020-10-10,4.2722,4.49,4.2342,4.2608,192991.0052258
2020-10-11,4.2649,4.3338,4.1759,4.2637,56895.39920892
2020-10-12,4.2504,4.46,4.2054,4.317,160201.33568903
2020-10-13,4.32,4.3479,4.142,4.2491,106995.46771464
2020-10-14,4.2575,4.3868,4.0907,4.2042,95551.53989062
2020-10-15,4.1936,4.1936,4.0242,4.0993,182556.89189237
2020-10-16,4.0885,4.1551,3.811,3.9095,180976.08510434
2020-10-17,3.9211,3.9831,3.875,3.9716,48564.33637694
2020-10-18,3.9672,4.1274,3.96,4.1114,58207.84131684
2020-10-19,4.1136,4.1276,3.9591,3.9886,71101.26552607
2020-10-20,3.9885,4.1466,3.8724,3.9158,243713.83032364
2020-10-21,3.9098,4.2479,3.8993,4.1418,181907.05894071
2020-10-22,4.1433,4.338,4.1336,4.2686,84509.02443335
2020-10-23,4.2659,4.4848,4.1857,4.2606,133027.91201617
2020-10-24,4.268,4.4315,4.2422,4.3543,64359.35063273
2020-10-25,4.3534,4.4476,4.2615,4.329,78873.05911375
2020-10-26,4.3279,4.751,4.2976,4.7038,240850.71404701
2020-10-27,4.7101,4.9304,4.6561,4.6857,165000.5999546
2020-10-28,4.6623,4.7691,4.26,4.3625,155652.76810943
2020-10-29,4.3595,4.4,3.852,4.0577,124582.67300174
2020-10-30,4.0574,4.1556,3.92,4.0845,129423.13876173
2020-10-31,4.0819,4.2763,4.0645,4.1837,47465.40340529
2020-11-01,4.1809,4.2211,4.107,4.2197,27576.48507596
2020-11-02,4.2248,4.2615,3.97,4.0301,63558.56674895
2020-11-03,4.0323,4.0652,3.89,4.0273,58367.51939436
2020-11-04,4.034,4.1534,3.8966,4.0927,48701.6548281
2020-11-05,4.0969,4.2975,4.0232,4.2207,83295.6933015
2020-11-06,4.2114,4.6383,4.21,4.5817,107256.91709125
2020-11-07,4.5944,4.846,4.1,4.2369,197980.71812178
2020-11-08,4.2355,4.42,4.1457,4.3776,50002.50923825
2020-11-09,4.3816,4.4624,4.2446,4.3465,49361.07823922
2020-11-10,4.3381,4.5004,4.3087,4.4249,39382.06815905
2020-11-11,4.4332,4.6319,4.4249,4.4515,68313.02278976
2020-11-12,4.4554,4.475,4.319,4.3978,35256.46550153
2020-11-13,4.396,4.5845,4.3735,4.5368,36061.50316076
2020-11-14,4.5505,4.5505,4.3597,4.4633,36915.15126765
2020-11-15,4.4565,4.497,4.3121,4.369,47813.64322396
2020-11-16,4.369,4.5976,4.348,4.4926,71650.66746704
2020-11-17,4.4971,4.924,4.4971,4.8606,159827.87262951
2020-11-18,4.868,4.949,4.5033,4.6826,181887.47551328
2020-11-19,4.6893,4.8493,4.5427,4.7542,67739.81728627
2020-11-20,4.7535,5.475,4.7473,5.2359,310248.401666
2020-11-21,5.23,5.8099,5.1319,5.7706,382884.14630398
2020-11-22,5.7634,5.8273,5.1838,5.5021,234422.3160619
2020-11-23,5.5109,5.9474,5.4113,5.9033,217343.60836505
2020-11-24,5.9033,6.0881,5.592,5.7116,294724.69228436
2020-11-25,5.7237,5.8148,5.1341,5.3109,168543.01574918
2020-11-26,5.2957,5.3686,4.4637,4.8133,659633.63771981
2020-11-27,4.8243,5.0811,4.5257,4.8196,55368.54791555
2020-11-28,4.7937,4.95,4.6842,4.9015,48021.50946981
2020-11-29,4.9033,5.2035,4.8143,5.1732,56187.2568245
2020-11-30,5.1976,5.4564,5.1441,5.3754,172502.40988083
2020-12-01,5.3745,5.5493,4.9789,5.0948,252493.39651019
2020-12-02,5.0873,5.5527,5.0187,5.4704,144880.04060242
2020-12-03,5.4678,5.577,5.332,5.4112,192675.19968311
2020-12-04,5.4047,5.435,4.9548,5.041,210195.35232518
2020-12-05,4.9993,5.1926,4.88,5.1893,121642.66083883
2020-12-06,5.1959,5.2031,5.0124,5.1402,63715.86235043
2020-12-07,5.1391,5.1537,5.0156,5.0607,48362.49535952
2020-12-08,5.0585,5.0711,4.7086,4.7378,155424.58330217
2020-12-09,4.7377,4.9503,4.6334,4.8743,128867.14233919
2020-12-10,4.8804,4.9159,4.7525,4.8016,43046.28384098
2020-12-11,4.8009,4.8009,4.5518,4.6071,53237.26112104
2020-12-12,4.6233,4.8065,4.6179,4.735,40098.14868219
2020-12-13,4.7426,4.9973,4.7339,4.8946,49769.46096381
2020-12-14,4.8945,5.0102,4.832,4.8993,36009.9065617
2020-12-15,4.8967,5.2998,4.8596,5.2507,129079.01695488
2020-12-16,5.2414,5.3626,5.1268,5.3554,139970.89638778
2020-12-17,5.3717,5.7183,5.275,5.3385,194245.30267173
2020-12-18,5.3141,5.4985,5.2441,5.3594,198911.80399516
2020-12-19,5.3627,5.5752,5.2795,5.3316,95531.09471632
2020-12-20,5.3312,5.4282,5.0723,5.1806,148354.53565587
2020-12-21,5.18,5.4358,4.772,4.8851,495840.39825963
2020-12-22,4.8707,5.1792,4.7946,5.1473,291700.84452514
2020-12-23,5.1478,5.1809,4.586,4.7118,161939.48068383
2020-12-24,4.718,5.2033,4.6348,5.1233,194637.39141251
2020-12-25,5.1176,5.2829,5.0462,5.2201,217482.14480925
2020-12-26,5.2171,5.2876,5.0855,5.1834,106704.64983283001
2020-12-27,5.1757,5.4093,4.9209,5.1431,368501.78878932
2020-12-28,5.1477,6.6846,5.1027,6.5974,1190454.42534498
2020-12-29,6.5899,7.6723,6.1802,7.5163,2129743.36430457
2020-12-30,7.529,7.6755,7.0576,7.2421,982571.65719686
2020-12-31,7.2296,9.5,7.1579,9.2408,1250983.9642554
2021-01-01,9.2631,9.4307,8.0991,8.282,1161242.21537762
2021-01-02,8.2637,9.83,7.91,9.2113,1060554.00093464
2021-01-03,9.2079,10.49,8.8561,10.138,837732.1358008
2021-01-04,10.129,10.524,8.7096,9.5,715088.98168603
2021-01-05,9.504,10.068,9.0367,9.7017,262038.94231424
2021-01-06,9.7397,10.45,9.4417,10.078,410454.38762463
2021-01-07,10.078,10.683,9.4321,9.6459,477976.29102985
2021-01-08,9.6305,9.8227,8.7917,9.2764,420899.56445455
2021-01-09,9.274,9.83,9.0315,9.7697,178812.0827843
2021-01-10,9.7764,10.001,8.6737,9.2965,317690.25230398
2021-01-11,9.2954,9.3295,7.152,8.287,832416.44247561
2021-01-12,8.2893,8.7011,7.9434,8.3131,219492.68570274
2021-01-13,8.3229,11.374,7.9991,10.929,787148.21445472
2021-01-14,10.942,14.829,10.902,14.472,1553651.61549222
2021-01-15,14.472,14.936,11.853,13.199,1438441.71424305
2021-01-16,13.191,19.45,13.191,18.0,2250202.48966458
2021-01-17,17.979,18.276,16.333,17.119,1020597.36530758
2021-01-18,17.108,18.209,15.826,16.59,597389.74320264
2021-01-19,16.607,17.5,16.0,16.425,483995.69307819
2021-01-20,16.41,18.246,14.781,18.0,1194631.09691251
2021-01-21,18.022,18.145,15.01,15.964,1365853.88036889
2021-01-22,15.996,18.05,14.77,17.198,683506.15935993
2021-01-23,17.169,18.794,16.852,18.744,493055.04254836
2021-01-24,18.744,18.744,17.327,18.007,272506.0415586
2021-01-25,18.019,19.1,17.09,17.222,295892.59317384
2021-01-26,17.184,17.78,16.033,17.107,254315.19053956
2021-01-27,17.059,17.059,15.076,15.47,376385.82610388
2021-01-28,15.465,17.5,15.302,16.851,330183.90186811
2021-01-29,16.85,17.775,16.024,16.83,456845.54166049
2021-01-30,16.844,17.049,16.154,16.558,223401.90700203
2021-01-31,16.549,17.568,15.7,16.136,193791.68026399
2021-02-01,16.111,16.558,15.724,16.511,173501.11027484
2021-02-02,16.494,17.67,16.056,17.225,307684.78232669
2021-02-03,17.23,20.938,16.851,20.865,627680.58560971
2021-02-04,20.892,21.712,19.001,19.718,548241.34831369
