time,open,high,low,close,volume
2016-07-26,2.5,2.5,2.5,2.5,0.04
2016-07-27,2.5,3.0,1.302,1.6011,224291.82926970976
2016-07-28,1.5901,2.0,1.36,1.7275,610357.9888546997
2016-07-29,1.7289,1.799,1.55,1.643,494860.5630792484
2016-07-30,1.647,1.71,1.538,1.5794,229644.62789010003
2016-07-31,1.5783,1.934,1.5575,1.7979,590932.0128353897
2016-08-01,1.7988,2.425,1.78,2.4109,1109413.0168452302
2016-08-02,2.3775,2.3775,2.3775,2.3775,0.46297418
2016-08-10,1.7053,1.96,1.505,1.65,176763.02226968002
2016-08-11,1.65,1.96,1.556,1.848,233142.42531250996
2016-08-12,1.85,2.35,1.7693,1.84,208674.31366023998
2016-08-13,1.847,1.9,1.809,1.8751,90330.65063072002
2016-08-14,1.857,1.9837,1.8548,1.9241,186696.1048535702
2016-08-15,1.9241,2.03,1.8256,1.853,173628.08043635043
2016-08-16,1.853,1.895,1.7757,1.8501,48267.619179789996
2016-08-17,1.8501,1.8717,1.6991,1.7426,122938.49509729007
2016-08-18,1.7429,1.775,1.65,1.68,88088.76496135998
2016-08-19,1.68,1.8126,1.6046,1.7754,155351.54866639007
2016-08-20,1.766,1.7878,1.6721,1.75,66069.22612929002
2016-08-21,1.75,1.7836,1.6924,1.7131,40869.088830599976
2016-08-22,1.723,1.75,1.62,1.6602,212135.07652379977
2016-08-23,1.679,1.6842,1.556,1.61,292339.59613001987
2016-08-24,1.61,1.6477,1.4371,1.4413,314572.35837228113
2016-08-25,1.4432,1.4663,1.2601,1.3728,825824.2148613187
2016-08-26,1.367,1.4777,1.3059,1.4331,539626.826440297
2016-08-27,1.434,1.455,1.326,1.3495,252049.25033153035
2016-08-28,1.3365,1.3699,1.285,1.313,365277.5531281794
2016-08-29,1.3262,1.3422,1.2375,1.2636,518749.46474708925
2016-08-30,1.2601,1.3564,1.1614,1.2495,1041753.3266798103
2016-08-31,1.2456,1.295,1.16,1.1802,362896.9728242601
2016-09-01,1.193,1.4999,1.1717,1.44,999311.2353566617
2016-09-02,1.451,1.4765,1.3645,1.4021,305628.9407049501
2016-09-03,1.4094,1.413,1.33,1.3656,80179.29403384005
2016-09-04,1.3798,1.4776,1.34,1.4776,214926.8887483398
2016-09-05,1.4431,1.5477,1.4421,1.464,144952.96142680998
2016-09-06,1.464,1.5279,1.4423,1.4729,149221.77053465013
2016-09-07,1.4718,1.4983,1.44,1.4876,236873.27102274998
2016-09-08,1.487,1.5333,1.448,1.448,132041.94228044018
2016-09-09,1.448,1.4492,1.3811,1.4011,183671.41291252043
2016-09-10,1.4005,1.45,1.4,1.425,132392.65297652004
2016-09-11,1.4224,1.4374,1.331,1.3438,632923.6839123783
2016-09-12,1.3351,1.3605,1.31,1.3301,169640.46490829025
2016-09-13,1.3301,1.3348,1.2763,1.2951,215825.86821493975
2016-09-14,1.2907,1.3314,1.25,1.2951,212326.32303529052
2016-09-15,1.2951,1.3122,1.2822,1.2865,120690.43944000998
2016-09-16,1.2861,1.3408,1.279,1.3251,174980.08221661995
2016-09-17,1.3251,1.3342,1.3073,1.3264,105030.02651468995
2016-09-18,1.3241,1.3611,1.3218,1.3304,282225.87428556976
2016-09-19,1.3221,1.328,1.2772,1.28,114448.83882764998
2016-09-20,1.28,1.2801,1.2266,1.24,219921.42072596995
2016-09-21,1.2327,1.265,1.1899,1.2257,437231.84275623603
2016-09-22,1.22,1.3415,1.12,1.2569,495890.3027829297
2016-09-23,1.2501,1.3,1.2075,1.2379,109742.37311534004
2016-09-24,1.2379,1.2568,1.223,1.25,110120.1186292699
2016-09-25,1.2464,1.2547,1.21,1.21,50420.510991179974
2016-09-26,1.2123,1.2244,1.2,1.2022,111649.20760638968
2016-09-27,1.2022,1.2089,1.1618,1.2,55826.37855991996
2016-09-28,1.2,1.269,1.1912,1.2398,243298.33351656006
2016-09-29,1.2445,1.2873,1.2271,1.27,93616.22038185994
2016-09-30,1.27,1.2718,1.241,1.2648,55321.58243683995
2016-10-01,1.2551,1.2653,1.1628,1.1794,68712.8997491599
2016-10-02,1.1882,1.2199,1.17,1.19,112581.03706809998
2016-10-03,1.192,1.22,1.16,1.2,75686.90454210003
2016-10-04,1.2004,1.2042,1.1266,1.1638,138840.3597295599
2016-10-05,1.159,1.23,1.155,1.1881,117009.13957287009
2016-10-06,1.1881,1.193,1.1611,1.1758,17896.10667586
2016-10-07,1.1724,1.1885,1.1573,1.1687,15301.828700819999
2016-10-08,1.179,1.1989,1.163,1.184,12731.056736530001
2016-10-09,1.1839,1.1913,1.1659,1.1733,10847.596209460005
2016-10-10,1.17,1.1787,1.15,1.1557,44188.97868432997
2016-10-11,1.1563,1.181,1.1,1.1,283905.1624535502
2016-10-12,1.1,1.1126,1.0105,1.0326,234671.07471098015
2016-10-13,1.0325,1.0548,0.983,1.013,241496.6777361504
2016-10-14,1.0164,1.0164,0.99,0.99,63580.04029979998
2016-10-15,1.001,1.0088,0.9921,0.9942,6830.625201190001
2016-10-16,0.9922,1.2349,0.9922,1.2148,174528.27758238013
2016-10-17,1.2048,1.2048,1.0652,1.0771,145068.13423557
2016-10-18,1.0736,1.0742,1.0189,1.0582,103576.35779678
2016-10-19,1.057,1.0887,1.0231,1.0514,47295.054704110014
2016-10-20,1.058,1.064,1.0376,1.0438,12272.015047990015
2016-10-21,1.0475,1.07,1.0262,1.0337,32459.870401980017
2016-10-22,1.0329,1.0736,1.0282,1.0543,29947.935232860025
2016-10-23,1.0543,1.065,1.0367,1.0481,36944.52493783999
2016-10-24,1.0421,1.0616,1.0246,1.0329,68646.65884251999
2016-10-25,1.0327,1.0446,1.01,1.0204,49274.23464863004
2016-10-26,1.0205,1.045,1.0162,1.036,79747.20371944005
2016-10-27,1.0311,1.0428,0.99001,0.9973,186124.13705777004
2016-10-28,0.9973,0.9982,0.95,0.95001,183571.46913939028
2016-10-29,0.95001,0.9745,0.873,0.8901,352788.9172612896
2016-10-30,0.89689,0.9534,0.88361,0.9292,161640.04682272
2016-10-31,0.93278,0.93278,0.8959,0.9008,81316.21582336999
2016-11-01,0.9008,0.905,0.8706,0.88798,129553.84321981974
2016-11-02,0.8851,0.90717,0.88,0.8963,39871.93638799997
2016-11-03,0.89691,0.92239,0.8847,0.89559,78561.25328054995
2016-11-04,0.90231,1.0199,0.89719,0.98263,153604.02931377993
2016-11-05,0.9769,1.0703,0.96,1.0391,109844.61054040998
2016-11-06,1.047,1.047,0.97562,0.9858,57572.61527262997
2016-11-07,0.991,1.0001,0.9148,0.9301,65952.07872933998
2016-11-08,0.9381,0.955,0.92271,0.9504,34929.19643643001
2016-11-09,0.93912,0.94,0.901,0.9153,39978.938615759966
2016-11-10,0.9179,0.9624,0.9011,0.91892,47856.6560065
2016-11-11,0.9211,0.9349,0.89883,0.91671,27808.331295989992
