time,open,high,low,close,volume
2016-08-01,94.33,94.605,94.3101,94.42,135567.0
2016-08-02,95.39,95.97,95.36,95.81,413926.0
2016-08-03,95.49,95.58,95.15,95.49,144735.0
2016-08-04,95.52,95.67,95.4703,95.53,150773.0
2016-08-05,94.99,95.06,94.7199,94.95,115383.0
2016-08-08,94.22,94.36,94.14,94.32,188182.0
2016-08-09,94.65,94.92,94.65,94.78,221372.0
2016-08-10,95.47,95.5497,95.32,95.42,191035.0
2016-08-11,95.45,95.4917,94.68,94.86,244376.0
2016-08-12,95.62,95.8,95.39,95.45,196298.0
2016-08-15,95.52,95.64,95.4,95.42,40254.0
2016-08-16,96.25,96.45,96.1101,96.36,188759.0
2016-08-17,95.94,96.55,95.94,96.4,118175.0
2016-08-18,96.23,96.75,96.22,96.69,125569.0
2016-08-19,96.34,96.56,96.33,96.5,150001.0
2016-08-22,96.34,96.37,96.13,96.31,83198.0
2016-08-23,96.52,96.55,96.35,96.4,91441.0
2016-08-24,96.32,96.32,96.03,96.15,85997.0
2016-08-25,96.13,96.16,96.03,96.065,64759.0
2016-08-26,96.32,96.503,94.78,94.88,380249.0
2016-08-29,94.42,94.82,94.42,94.82,262438.0
2016-08-30,94.1,94.174,93.66,93.77,302091.0
2016-08-31,93.37,93.54,93.35,93.35,104875.0
2016-09-01,92.92,93.65,92.89,93.61,262325.0
2016-09-02,93.25,93.33,92.63,92.86,226210.0
2016-09-06,93.49,94.7228,93.45,94.7,832302.0
2016-09-07,95.23,95.27,94.83,94.95,127543.0
2016-09-08,94.98,95.15,94.17,94.21,185422.0
2016-09-09,93.81,94.18,93.77,94.05,139554.0
2016-09-12,94.78,95.08,94.6324,94.88,241527.0
2016-09-13,94.36,94.5982,94.02,94.07,340354.0
2016-09-14,93.89,94.47,93.8686,94.3,120076.0
2016-09-15,94.26,94.68,94.02,94.55,166616.0
2016-09-16,94.64,94.65,94.27,94.42,136985.0
2016-09-19,95.0,95.06,94.82,94.85,185450.0
2016-09-20,94.87,95.03,94.8,94.9,245810.0
2016-09-21,95.801,96.23,95.6,96.13,564235.0
2016-09-22,95.97,96.03,95.69,95.79,66475.0
2016-09-23,95.59,95.71,95.46,95.54,184510.0
2016-09-26,96.12,96.34,96.11,96.34,271193.0
2016-09-27,96.36,96.36,96.1,96.21,71910.0
2016-09-28,95.92,96.08,95.82,95.93,102071.0
2016-09-29,94.99,95.755,94.96,95.56,84298.0
2016-09-30,95.27,95.43,95.2,95.21,43777.0
2016-10-03,95.27,95.28,95.0,95.02,84923.0
2016-10-04,94.18,94.22,93.77,93.86,188320.0
2016-10-05,93.67,93.7,93.15,93.24,538215.0
2016-10-06,92.92,92.97,92.69,92.76,198842.0
2016-10-07,93.72,93.86,93.32,93.79,96242.0
2016-10-10,93.25,93.26,93.05,93.12,63035.0
2016-10-11,93.187,93.56,92.9903,93.34,55155.0
2016-10-12,92.91,92.99,92.41,92.58,138862.0
2016-10-13,93.11,93.41,93.11,93.2,58983.0
2016-10-14,92.49,93.0,92.49,92.6,137371.0
2016-10-17,92.76,92.99,92.74,92.92,41002.0
2016-10-18,92.67,93.02,92.67,92.94,48269.0
2016-10-19,93.39,93.56,93.28,93.36,104273.0
2016-10-20,93.17,93.2,92.75,92.88,195506.0
2016-10-21,93.16,93.23,92.84,92.96,261660.0
2016-10-24,92.85,92.85,92.54,92.64,260675.0
2016-10-25,92.07,92.71,92.06,92.63,308103.0
2016-10-26,92.67,92.74,92.29,92.36,135258.0
2016-10-27,92.06,92.07,91.66,91.7,178117.0
2016-10-28,91.68,92.39,91.48,92.2,194905.0
2016-10-31,91.9,92.08,91.75,92.03,68139.0
2016-11-01,92.07,92.95,92.06,92.78,124771.0
2016-11-02,93.44,93.668,93.28,93.39,190880.0
2016-11-03,93.49,93.8,93.44,93.73,501373.0
2016-11-04,93.75,93.83,93.53,93.7,87845.0
2016-11-07,92.41,92.42,92.26,92.37,64743.0
2016-11-08,92.08,92.28,91.75,91.79,156263.0
2016-11-09,92.63,92.64,91.13,91.13,290368.0
2016-11-10,90.3,90.8,90.24,90.27,163288.0
2016-11-11,90.72,90.75,90.37,90.37,373858.0
2016-11-14,89.3,89.4,88.92,89.01,394293.0
