time,open,high,low,close,volume
2017-06-12,0.25,0.53,0.25,0.53,43877.7219
2017-06-13,0.53,1.3,0.41,0.587,9574036.993188852
2017-06-14,0.58999,0.6101,0.47948,0.52021,7802434.191845088
2017-06-15,0.51217,0.5447,0.29123,0.3467,7005679.010761603
2017-06-16,0.3426,0.599,0.3053,0.4082,4627428.874867299
2017-06-17,0.41794,0.45116,0.4,0.434,1423006.935828849
2017-06-18,0.43756,0.4502,0.385,0.40555,1754965.0969120243
2017-06-19,0.40553,0.435,0.395,0.42535,1893051.3870266224
2017-06-20,0.42513,0.44719,0.41073,0.44054,3264322.2034196313
2017-06-21,0.44499,0.46244,0.415,0.425,3453598.4784072884
2017-06-22,0.4257,0.4499,0.41142,0.43732,1080249.4242409398
2017-06-23,0.43734,0.48278,0.433,0.48276,2033076.8771986016
2017-06-24,0.48072,0.62894,0.47667,0.50529,8861238.335416526
2017-06-25,0.50505,0.52142,0.4401,0.46528,3530339.791983619
2017-06-26,0.4648,0.4659,0.3401,0.40799,7093937.120261009
2017-06-27,0.40799,0.42,0.3483,0.39401,3242682.413185943
2017-06-28,0.39401,0.4,0.35112,0.373,3373903.3136433335
2017-06-29,0.373,0.4599,0.36194,0.411,3895424.9724416644
2017-06-30,0.41249,0.449,0.393,0.39801,2533794.685912
2017-07-01,0.39801,0.41288,0.3701,0.3811,1734200.0923947417
2017-07-02,0.3849,0.39,0.36,0.3769,2264625.998318978
2017-07-03,0.3774,0.385,0.35,0.37605,3703826.472801092
2017-07-04,0.37664,0.4098,0.37022,0.3938,2880617.3515995885
2017-07-05,0.39467,0.39869,0.36811,0.381,2314207.7286206856
2017-07-06,0.37887,0.3851,0.3033,0.35286,11066020.00556374
2017-07-07,0.3551,0.35651,0.27,0.2822,11934566.562495336
2017-07-08,0.283,0.3202,0.2751,0.30029,5148617.635389572
2017-07-09,0.3,0.3125,0.2829,0.30002,3020981.1567368302
2017-07-10,0.30408,0.30408,0.18367,0.21,22325572.91414867
2017-07-11,0.21,0.2342,0.18368,0.1869,14923522.852678843
2017-07-12,0.18898,0.2395,0.1806,0.22877,11056368.362909386
2017-07-13,0.22877,0.23896,0.1875,0.21285,8121462.94620586
2017-07-14,0.2129,0.21307,0.1602,0.1751,7668769.3940022
2017-07-15,0.1735,0.17626,0.1427,0.15824,14452709.12680351
2017-07-16,0.158,0.188,0.155,0.17801,10919602.68342686
2017-07-17,0.18012,0.28,0.1767,0.264,31564995.85355911
2017-07-18,0.263,0.31234,0.24601,0.268,23229431.27248523
2017-07-19,0.268,0.2849,0.23,0.2314,14740871.56619909
2017-07-20,0.23499,0.3043,0.2302,0.29369,19157594.83407966
2017-07-21,0.29369,0.3078,0.24524,0.2595,12986670.617465
2017-07-22,0.2596,0.27851,0.2536,0.27158,7320650.15872642
2017-07-23,0.27272,0.28,0.2551,0.2649,5935647.18013683
