time,open,high,low,close,volume
2020-08-21,25.0,25.0,12.916,13.745,42750.29014892
2020-08-22,13.957,16.281,13.676,15.891,30813.81327726
2020-08-23,16.022,16.028,14.715,15.255,11450.26801601
2020-08-24,15.06,15.855,14.762,15.156,10637.18439015
2020-08-25,15.199,15.383,13.5,14.157,16561.90356671
2020-08-26,14.098,15.647,14.098,15.295,28430.4970074
2020-08-27,15.229,15.523,14.024,14.544,38171.80344345
2020-08-28,14.412,15.55,14.293,15.165,37754.40978154
2020-08-29,15.191,17.052,14.998,16.437,80826.75840067
2020-08-30,16.4,17.808,16.351,16.484,87785.93178638
2020-08-31,16.531,16.964,15.535,15.618,62682.38531223
2020-09-01,15.581,16.517,15.135,16.111,72225.00252449
2020-09-02,16.101,16.36,14.12,14.834,130811.42000599
2020-09-03,14.803,14.987,11.0,11.876,154059.13330339
2020-09-04,11.85,12.921,10.97,12.427,111839.88868556
2020-09-05,12.427,12.787,9.093,10.638,211141.92279604
2020-09-06,10.621,13.239,9.782,12.817,107192.17761431
2020-09-07,12.819,13.158,11.222,12.475,139977.91641213
2020-09-08,12.488,12.796,11.076,11.745,95630.14330783
2020-09-09,11.731,12.683,11.469,12.373,46622.47341247
2020-09-10,12.355,13.311,12.191,12.513,80099.37124807
2020-09-11,12.548,12.7,12.059,12.528,36175.18759131
2020-09-12,12.469,12.755,12.165,12.709,28792.76499124
2020-09-13,12.731,13.237,11.8,12.065,56337.93418452
2020-09-14,11.903,12.39,11.683,12.139,49013.03491848
2020-09-15,12.145,12.238,10.804,10.963,48663.55261117
2020-09-16,10.97,11.29,10.504,10.729,38073.24443166
2020-09-17,10.677,11.646,10.524,11.001,40973.46916498
2020-09-18,11.041,11.125,9.813,10.101,53537.80109048
2020-09-19,10.124,10.501,9.95,10.151,40007.64129547
2020-09-20,10.145,10.609,9.5243,9.769,69372.42171834
2020-09-21,9.742,9.931,8.5169,8.7147,140656.04574192
2020-09-22,8.7549,9.0782,8.5706,8.76,67062.16427824
2020-09-23,8.7644,8.826,7.3399,7.69,224129.42333487
2020-09-24,7.6678,10.435,7.53,9.852,343648.19876237
2020-09-25,9.8987,11.25,9.3944,10.728,194487.97852423
2020-09-26,10.76,11.138,10.011,10.339,113655.3350716
2020-09-27,10.357,11.0,9.945,10.827,125930.26283574999
2020-09-28,10.85,11.1,10.18,10.319,72134.14873791
2020-09-29,10.255,10.394,9.4664,10.118,93380.3305498
2020-09-30,10.161,10.283,9.606,9.8791,41663.19387216
2020-10-01,9.94,10.475,9.35,9.6687,141680.83032313
2020-10-02,9.6455,9.821,8.8265,9.23,106524.04505593
2020-10-03,9.24,9.58,9.1341,9.2842,47863.58858495
2020-10-04,9.286,9.4613,9.147,9.401,36778.75443707
2020-10-05,9.401,9.7419,9.2977,9.623,37154.12525987
2020-10-06,9.667,9.667,8.5985,8.791,69186.42389926
2020-10-07,8.77,9.01,8.42,8.9824,48708.54387732
2020-10-08,8.998,9.7,8.446,9.569,83987.8570448
2020-10-09,9.544,10.532,9.4041,10.419,82143.23741207
2020-10-10,10.42,10.91,10.373,10.54,60829.69906909
