time,open,high,low,close,volume
2013-05-19,3.1491,3.1491,3.1491,3.1491,12.0
2013-05-22,2.99,3.13,2.99,2.99,15.2
2013-05-23,3.13,3.3,3.05,3.05,205.56363635999998
2013-05-24,3.04,3.09,2.99,3.05,652.81
2013-05-25,3.05,3.29,2.88,3.05,344.6498562000001
2013-05-26,3.05,3.3,3.01,3.15,559.38033189
2013-05-27,3.15,3.15,3.15,3.15,7.390000000000001
2013-05-28,3.15,3.15,2.99,3.05,141.0524107
2013-05-29,3.05,3.07,2.91,3.069,50.022
2013-05-30,3.05,3.05,2.88,2.88,1004.604
2013-05-31,3.049,3.049,2.72,2.72,459.7189
2013-06-01,2.72,2.83,2.68,2.83,6.07
2013-06-02,2.83,2.83,2.7,2.83,387.52000000000004
2013-06-03,2.83,2.83,2.68,2.83,231.8707
2013-06-04,2.8,2.83,2.8,2.83,131.1893
2013-06-05,2.9898,3.92,2.76,2.8,3026.3994
2013-06-06,2.8001,2.82,2.8,2.81,5.4625
2013-06-07,2.77,2.97,2.62,2.97,68.0161
2013-06-08,2.62,2.62,2.6,2.6,206.26816300000002
2013-06-09,2.6,2.6,2.31,2.31,965.651837
2013-06-10,2.5011,2.5011,2.25,2.25,125.69999999999999
2013-06-11,2.55,2.55,2.31,2.4599,112.25
2013-06-12,2.3611,2.5,2.35,2.35,55.52799035
2013-06-13,2.35,2.98,2.25,2.4,101.92859999999999
2013-06-14,2.25,2.3,2.2,2.3,69.2649
2013-06-15,2.14,2.25,2.13,2.16,45.1379
2013-06-16,2.14,2.15,2.092,2.15,71.322
2013-06-17,2.092,2.59,2.07,2.59,20.43564986
2013-06-18,2.2,2.37810101,2.16,2.37810101,66.04180713
2013-06-19,2.15,2.36,2.15,2.36,52.2632
2013-06-20,2.16,2.36,2.1101001,2.2,92.33450472000003
2013-06-21,2.1101001,3.39,2.08,2.44,1749.5583762000003
2013-06-22,2.8,3.47,2.57,3.01,2187.9990772499996
2013-06-23,2.73,3.47,2.7,2.999,858.21137832
2013-06-24,2.99,2.99,1.0,2.09,2552.4449472399997
2013-06-25,2.64,2.75,2.38,2.401,272.30039790000006
2013-06-26,2.62,20.0,0.01,2.36,22429.180778340007
2013-06-27,2.76,2.79,2.7,2.74,1291.36133143
2013-06-28,2.74,2.75,2.35,2.35,1619.1970184900001
2013-06-29,2.5,2.56,2.19,2.31,956.8385672300001
2013-06-30,2.31,2.65,2.31,2.6002,2787.4834629299994
2013-07-01,2.63,3.0,2.411,2.664,5031.6060552300005
2013-07-02,2.68,2.79,2.61,2.61,614.4652027100001
2013-07-03,2.73,2.9,2.45,2.45,917.2706438699998
2013-07-04,2.64,2.7,2.45,2.6599,349.71292801
2013-07-05,2.49,2.49,2.3,2.3,1996.0188929600001
2013-07-06,2.35,2.35,2.3,2.3,798.7128228400001
2013-07-07,2.3,2.55,2.3,2.5,1864.0539136900002
2013-07-08,2.5,2.65,2.3055,2.3501,582.32565341
2013-07-09,2.65,2.65,2.65,2.65,3.5
2013-07-10,2.42,2.8,2.42,2.8,1928.2171336300003
2013-07-11,2.58,2.8,2.55,2.7,130.57619953
2013-07-12,2.58,2.84,2.58,2.655,319.09276859
2013-07-13,2.655,2.655,2.59,2.59,184.92386097000002
2013-07-14,2.56,2.56,2.56,2.56,8.1132
2013-07-15,2.7,2.77,2.7,2.74,398.40197716999995
2013-07-16,2.787,2.9,2.787,2.83,905.1469446200001
2013-07-17,2.85,2.9,2.6,2.82,464.06659176
2013-07-18,2.81,2.9,2.6,2.601,1079.76492582
2013-07-19,2.798,2.9,2.798,2.799,1917.6212477600002
2013-07-20,2.799,2.8,2.799,2.8,16.0
2013-07-21,2.651,2.651,2.651,2.651,1.33070089
2013-07-22,2.651,2.9,2.651,2.9,637.31893194
2013-07-23,2.8,2.8,2.71,2.71,23.900000000000006
2013-07-24,2.701,2.84,2.7,2.84,79.0
2013-07-25,2.93,3.094,2.703,2.72,167.24375997999996
2013-07-26,2.75,2.75,2.7,2.7,61.5
2013-07-28,2.701,2.86,2.65,2.86,235.58261194
2013-07-29,2.65,2.65,2.65,2.65,120.27
2013-07-30,2.67,2.67,2.59,2.59,1028.74178573
2013-07-31,2.72,2.78,2.58,2.58,407.29341438000006
2013-08-01,2.6,2.6,2.6,2.6,5.16552159
2013-08-02,2.66,2.68,2.6,2.67,1015.91162536
2013-08-03,2.66,2.67,2.66,2.67,40.42
2013-08-04,2.67,2.75,2.67,2.705,2042.8989703399998
2013-08-05,2.71,2.71,2.5,2.64,1948.70183752
2013-08-06,2.635,2.65,2.635,2.65,222.2415
2013-08-07,2.57,2.57,2.51,2.51,113.8016749
2013-08-08,2.4855,2.59,2.45,2.59,174.90314305
2013-08-09,2.45,2.45,2.45,2.45,296.33183693
2013-08-10,2.43,2.43,2.3,2.32,1162.8979941300001
2013-08-11,2.35,2.4,2.3,2.3,2502.79187698
2013-08-12,2.31,2.4,2.3,2.31,793.91788672
2013-08-13,2.3,2.48,2.3,2.48,31.3923529
2013-08-14,2.48,2.48,2.34,2.39,48.93
2013-08-15,2.39,2.41,2.37,2.41,179.5
2013-08-16,2.37,2.37,2.37,2.37,0.123
2013-08-17,2.38,2.38,2.38,2.38,1.00024222
2013-08-18,2.401,2.41,2.39,2.39,576.30844194
2013-08-19,2.41,2.45,2.35,2.36,406.73847267
2013-08-20,2.4,2.4,2.33,2.33,90.04268886999998
2013-08-21,2.35,2.4,2.31,2.37,1057.92892462
2013-08-22,2.75,2.75,2.3,2.35,1836.84747715
2013-08-23,2.47,2.55,2.46,2.55,1162.99
2013-08-24,2.5,2.5,2.4,2.4,695.30133699
2013-08-25,2.4,2.73,2.3,2.3,4105.95588991
