time,open,high,low,close,volume
2017-09-07,22.3,39.8,22.3,31.15,277599.8440821
2017-09-08,31.003,31.39,22.32,25.89,296052.41348982
2017-09-09,25.89,25.924,22.18,22.6,133267.6223018
2017-09-10,22.59,25.4,19.529,23.805,172515.4581134
2017-09-11,23.773,24.5,21.509,22.048,79796.22787584
2017-09-12,21.854,23.8,19.88,21.0,147392.88832112
2017-09-13,20.75,21.395,17.534,20.089,144653.25113618
2017-09-14,20.1,20.986,14.7,15.716,170102.60580751
2017-09-15,15.8,19.33,13.19,18.526,240372.75669151
2017-09-16,18.584,23.197,18.25,20.349,177575.92380705
2017-09-17,20.355,20.496,18.204,19.855,61556.2502531
2017-09-18,19.947,21.399,19.512,21.22,135691.9968632
2017-09-19,21.101,21.919,18.9,19.9,172892.78025043
2017-09-20,19.89,20.6,19.506,19.671,76379.6577064
2017-09-21,19.727,19.969,16.562,17.428,142316.01861221
2017-09-22,17.273,19.5,16.992,18.55,109065.5602432
2017-09-23,18.588,20.6,18.167,20.02,89714.27631671
2017-09-24,20.173,20.38,19.1,19.551,45314.17268657
2017-09-25,19.581,27.4,19.554,25.9,597518.39417109
2017-09-26,25.9,27.356,24.377,26.402,525243.46197393
2017-09-27,26.405,34.01,26.395,31.868,1166481.61580822
2017-09-28,31.85,32.8,27.61,29.908,753494.69927562
2017-09-29,29.848,30.5,26.081,28.623,610659.27994257
2017-09-30,28.623,34.489,28.457,34.3,684892.59174931
2017-10-01,34.25,36.0,31.85,35.629,542194.08450319
2017-10-02,35.646,38.939,34.56,36.58,868323.98740053
2017-10-03,36.579,36.881,31.9,33.55,626198.32863238
2017-10-04,33.539,35.235,30.1,31.15,497997.08245423
2017-10-05,31.19,33.68,28.76,32.2,651875.991415
2017-10-06,32.25,34.49,32.001,33.449,371594.18279434
2017-10-07,33.429,36.373,33.05,35.877,261676.73996255
2017-10-08,35.878,37.225,31.01,32.125,762576.67547407
2017-10-09,32.14,33.0,26.589,28.95,776190.57663735
2017-10-10,29.0,31.524,28.0,29.36,310809.51277071
2017-10-11,29.333,31.307,29.323,30.007,195903.85458061
2017-10-12,30.002,30.479,27.501,28.248,331190.03820995
2017-10-13,28.056,29.85,26.619,29.31,454957.27436903
2017-10-14,29.346,29.65,27.566,27.69,153808.07627196
2017-10-15,27.73,28.4,27.001,27.899,181230.30404891
2017-10-16,27.898,29.083,27.0,28.538,228075.38260135
2017-10-17,28.532,32.775,27.67,31.661,510798.35005003
2017-10-18,31.647,31.749,28.221,29.674,342706.11732538
2017-10-19,29.587,30.075,28.476,28.773,142325.97786472
2017-10-20,28.77,29.65,27.67,27.681,201032.13430694
2017-10-21,27.681,28.257,25.83,27.155,176992.72307256
2017-10-22,27.198,29.647,26.918,28.538,195332.45893857
2017-10-23,28.552,28.587,26.5,27.883,149176.68187749
2017-10-24,27.952,32.619,26.8,30.003,395398.53816217
2017-10-25,30.065,30.37,28.46,28.595,104352.24111511
2017-10-26,28.621,29.344,27.71,28.259,106681.24527138
2017-10-27,28.32,29.341,28.2,28.884,58975.21152605
2017-10-28,28.894,29.027,27.0,27.314,78321.37442451
