time,open,high,low,close,volume
2016-08-01,19.45,19.55,19.35,19.43,11579290.0
2016-08-02,19.65,19.71,19.56,19.6,9386641.0
2016-08-03,19.52,19.52,19.35,19.38,7124717.0
2016-08-04,19.28,19.445,19.27,19.35,5468041.0
2016-08-05,18.93,18.93,18.71,18.71,15081690.0
2016-08-08,18.76,18.875,18.725,18.74,6084219.0
2016-08-09,18.85,18.885,18.78,18.87,4752141.0
2016-08-10,19.29,19.32,19.1284,19.16,8649733.0
2016-08-11,19.16,19.26,18.95,18.96,8100722.0
2016-08-12,19.15,19.19,18.68,18.72,9832983.0
2016-08-15,18.77,18.89,18.76,18.83,4447977.0
2016-08-16,18.77,18.95,18.73,18.82,9690559.0
2016-08-17,18.72,18.82,18.41,18.68,14612020.0
2016-08-18,18.79,18.85,18.7001,18.77,6256544.0
2016-08-19,18.4,18.48,18.33,18.35,11492870.0
2016-08-22,18.01,18.03,17.9,17.97,12273480.0
2016-08-23,18.05,18.1,17.91,17.93,8260314.0
2016-08-24,17.775,17.78,17.6,17.62,11810470.0
2016-08-25,17.61,17.705,17.6,17.63,6660732.0
2016-08-26,17.79,18.12,17.62,17.72,16054470.0
2016-08-29,17.68,17.93,17.66,17.9,6196723.0
2016-08-30,17.8,17.86,17.6437,17.67,10112150.0
2016-08-31,17.7,17.8,17.69,17.72,4344309.0
2016-09-01,17.74,17.99,17.69,17.94,11183330.0
2016-09-02,18.26,18.44,18.16,18.44,12217490.0
2016-09-06,18.66,19.116,18.63,19.05,15724960.0
2016-09-07,18.98,18.99,18.73,18.78,7415020.0
2016-09-08,18.78,18.87,18.5692,18.62,8349438.0
2016-09-09,18.49,18.5,18.1,18.11,12600270.0
2016-09-12,17.92,18.2199,17.85,18.17,11549710.0
2016-09-13,18.09,18.11,17.84,17.93,8802051.0
2016-09-14,18.05,18.14,18.0,18.02,4761216.0
2016-09-15,18.02,18.16,17.87,18.04,8199173.0
2016-09-16,17.77,17.88,17.74,17.86,8058720.0
2016-09-19,18.275,18.32,18.18,18.2,5489228.0
2016-09-20,18.15,18.3,18.115,18.27,3052552.0
2016-09-21,18.61,18.87,18.54,18.85,17214450.0
2016-09-22,18.98,19.05,18.85,18.9,9239534.0
2016-09-23,18.81,18.85,18.59,18.68,6946324.0
2016-09-26,18.64,18.67,18.37,18.41,6700983.0
2016-09-27,18.25,18.3,18.01,18.17,7778609.0
2016-09-28,18.09,18.24,17.96,18.21,6987752.0
2016-09-29,18.14,18.24,18.05,18.11,5775815.0
2016-09-30,18.65,18.67,18.13,18.2,11580930.0
2016-10-03,18.1,18.11,17.76,17.87,18044080.0
2016-10-04,17.58,17.58,16.82,16.94,27910710.0
2016-10-05,17.0,17.01,16.66,16.85,18162150.0
2016-10-06,16.51,16.56,16.24,16.44,18462390.0
2016-10-07,16.7,16.74,16.23,16.6,20240570.0
2016-10-10,16.75,16.83,16.7,16.73,8437095.0
2016-10-11,16.7,16.73,16.5599,16.56,7177808.0
2016-10-12,16.6,16.71,16.53,16.65,6301065.0
2016-10-13,16.6,16.66,16.535,16.61,6255822.0
2016-10-14,16.56,16.69,16.48,16.56,8322289.0
2016-10-17,16.54,16.6,16.5,16.57,3552924.0
2016-10-18,16.69,16.8,16.62,16.72,8172439.0
2016-10-19,16.8,16.845,16.675,16.79,8580037.0
2016-10-20,16.8,16.83,16.56,16.64,7037502.0
2016-10-21,16.65,16.66,16.57,16.65,4149526.0
2016-10-24,16.96,16.98,16.64,16.7,5792065.0
2016-10-25,16.8,16.92,16.77,16.86,6572144.0
2016-10-26,16.81,16.87,16.68,16.71,5791842.0
2016-10-27,16.75,16.77,16.675,16.73,4050424.0
2016-10-28,16.82,17.01,16.73,16.87,9810365.0
2016-10-31,16.94,17.0,16.87,16.97,6049908.0
2016-11-01,17.37,17.55,17.32,17.41,12888480.0
2016-11-02,17.62,17.79,17.55,17.56,10931950.0
2016-11-03,17.26,17.5,17.24,17.42,7916201.0
2016-11-04,17.47,17.54,17.4,17.46,5668112.0
2016-11-07,17.31,17.32,17.09,17.29,7073381.0
2016-11-08,17.37,17.78,17.34,17.4,11204660.0
2016-11-09,17.86,17.87,17.4,17.45,16732830.0
2016-11-10,17.65,17.8011,17.475,17.56,17497810.0
2016-11-11,17.49,17.5,16.31,16.47,50028180.0
2016-11-14,16.19,16.23,15.78,16.0,28798670.0
2016-11-15,16.04,16.26,16.01,16.19,10303680.0
2016-11-16,16.2,16.21,16.0,16.09,7006276.0
2016-11-17,16.11,16.17,15.73,15.84,20966890.0
2016-11-18,15.78,15.85,15.6,15.73,9994612.0
2016-11-21,15.76,15.86,15.67,15.72,8405375.0
2016-11-22,15.88,15.9,15.6932,15.8,6667081.0
2016-11-23,15.5,15.62,15.3401,15.52,12231470.0
2016-11-25,15.7,15.72,15.595,15.63,4894601.0
2016-11-28,15.72,15.839,15.63,15.77,6824679.0
2016-11-29,15.59,15.87,15.58,15.78,4755755.0
2016-11-30,15.78,15.8148,15.57,15.66,8659197.0
2016-12-01,15.51,15.82,15.45,15.66,8477519.0
2016-12-02,15.7,15.94,15.68,15.83,8064719.0
2016-12-05,15.75,16.0,15.67,15.88,7196460.0
2016-12-06,15.86,16.01,15.83,15.85,4645188.0
2016-12-07,16.17,16.34,16.1601,16.23,10074390.0
2016-12-08,16.14,16.2,16.08,16.14,5835080.0
2016-12-09,16.15,16.18,15.92,15.97,7899128.0
2016-12-12,16.24,16.29,16.16,16.19,7345684.0
2016-12-13,16.18,16.24,15.9,16.04,8204569.0
2016-12-14,16.24,16.33,15.8725,15.93,15823370.0
2016-12-15,15.25,15.3,15.061,15.18,22099730.0
2016-12-16,15.22,15.42,15.12,15.27,8582270.0
2016-12-19,15.24,15.26,15.09,15.17,6793179.0
2016-12-20,14.86,15.26,14.85,15.24,10728130.0
2016-12-21,15.26,15.3,15.07,15.12,6044985.0
2016-12-22,15.05,15.2,14.95,14.98,7319159.0
2016-12-23,14.95,14.99,14.88,14.91,7893520.0
2016-12-27,14.99,15.15,14.9744,15.13,5557582.0
2016-12-28,15.08,15.22,15.0401,15.2,5797757.0
2016-12-29,15.21,15.4,15.17,15.32,8173996.0
2016-12-30,15.37,15.41,15.02,15.11,8558310.0
2017-01-03,15.25,15.64,15.19,15.44,11025220.0
2017-01-04,15.58,15.66,15.49,15.58,6140001.0
2017-01-05,15.73,15.85,15.66,15.76,7773263.0
2017-01-06,15.57,15.7,15.55,15.64,6096837.0
2017-01-09,15.69,15.83,15.65,15.7,7287879.0
2017-01-10,15.8,16.03,15.8,15.91,7861867.0
2017-01-11,15.77,16.0,15.67,15.87,7945580.0
2017-01-12,15.98,16.07,15.86,15.91,6086830.0
2017-01-13,15.82,15.95,15.73,15.94,5279427.0
2017-01-17,16.21,16.32,16.17,16.28,7880568.0
2017-01-18,16.28,16.43,16.15,16.19,8196671.0
2017-01-19,15.945,16.17,15.87,16.12,7696353.0
2017-01-20,16.12,16.27,16.02,16.19,8458784.0
2017-01-23,16.23,16.31,16.18,16.29,4205208.0
2017-01-24,16.28,16.39,16.14,16.22,7346270.0
2017-01-25,15.96,16.13,15.91,16.1,8317480.0
2017-01-26,15.94,16.0225,15.84,15.93,5937672.0
2017-01-27,15.9,16.35,15.85,16.22,8210485.0
2017-01-30,16.28,16.3717,16.18,16.23,6465188.0
2017-01-31,16.56,16.69,16.5,16.63,11060040.0
2017-02-01,16.54,16.72,16.45,16.61,7604277.0
2017-02-02,16.73,16.76,16.5,16.56,5403613.0
2017-02-03,16.49,16.63,16.47,16.57,5385147.0
2017-02-06,16.71,16.83,16.66,16.82,6719312.0
2017-02-07,16.76,16.87,16.75,16.79,4524519.0
