time,open,high,low,close,volume
2016-08-01,24.74,24.76,24.71,24.74,705803.0
2016-08-02,24.6,24.61,24.55,24.57,1902255.0
2016-08-03,24.66,24.71,24.6401,24.71,1458737.0
2016-08-04,24.74,24.765,24.7201,24.75,349942.0
2016-08-05,24.92,24.96,24.845,24.88,834661.0
2016-08-08,24.93,24.93,24.9,24.9,601795.0
2016-08-09,24.9,24.91,24.83,24.85,671678.0
2016-08-10,24.7,24.75,24.691,24.72,1372095.0
2016-08-11,24.75,24.7963,24.705,24.79,740501.0
2016-08-12,24.67,24.75,24.655,24.75,745911.0
2016-08-15,24.73,24.73,24.68,24.71,538965.0
2016-08-16,24.56,24.5674,24.48,24.49,1974609.0
2016-08-17,24.53,24.58,24.4307,24.51,1489965.0
2016-08-18,24.43,24.44,24.32,24.33,1147702.0
2016-08-19,24.45,24.46,24.42,24.42,1072220.0
2016-08-22,24.46,24.47,24.42,24.45,1017395.0
2016-08-23,24.41,24.44,24.392,24.43,1427522.0
2016-08-24,24.49,24.54,24.48,24.5,1047415.0
2016-08-25,24.47,24.51,24.46,24.5,987194.0
2016-08-26,24.45,24.71,24.36,24.68,2873893.0
2016-08-29,24.76,24.77,24.69,24.7,1152879.0
2016-08-30,24.78,24.86,24.77,24.83,4898824.0
2016-08-31,24.86,24.87,24.8,24.82,2955843.0
2016-09-01,24.85,24.87,24.72,24.73,1397616.0
2016-09-02,24.68,24.81,24.67,24.79,2454084.0
2016-09-06,24.72,24.73,24.5,24.5,3033404.0
2016-09-07,24.5,24.57,24.48,24.54,1175228.0
2016-09-08,24.44,24.59,24.42,24.57,1294957.0
2016-09-09,24.65,24.7,24.631,24.64,1208016.0
2016-09-12,24.64,24.66,24.54,24.6,1337456.0
2016-09-13,24.67,24.73,24.62,24.7,771446.0
2016-09-14,24.7,24.71,24.6001,24.64,413570.0
2016-09-15,24.65,24.685,24.6,24.63,993975.0
2016-09-16,24.78,24.84,24.75,24.83,1459632.0
2016-09-19,24.75,24.77,24.718,24.77,2600974.0
2016-09-20,24.78,24.82,24.77,24.81,2402948.0
2016-09-21,24.8,24.83,24.65,24.7,1220684.0
2016-09-22,24.58,24.67,24.56,24.67,1275780.0
2016-09-23,24.71,24.72,24.66,24.68,632208.0
2016-09-26,24.61,24.63,24.5799,24.63,362369.0
2016-09-27,24.69,24.72,24.6407,24.65,317165.0
2016-09-28,24.68,24.74,24.65,24.67,259993.0
2016-09-29,24.71,24.72,24.633,24.69,959118.0
2016-09-30,24.68,24.72,24.64,24.68,1338592.0
2016-10-03,24.7,24.76,24.7,24.73,732529.0
2016-10-04,24.87,24.93,24.78,24.84,1734684.0
2016-10-05,24.85,24.91,24.84,24.87,4292531.0
2016-10-06,24.95,25.03,24.94,25.0,1200932.0
2016-10-07,24.97,25.07,24.935,24.96,2114232.0
2016-10-10,25.05,25.08,25.0117,25.06,818633.0
2016-10-11,25.15,25.28,25.14,25.25,2255994.0
2016-10-12,25.31,25.35,25.26,25.32,1502058.0
2016-10-13,25.27,25.3,25.21,25.23,919729.0
2016-10-14,25.31,25.37,25.27,25.36,689548.0
2016-10-17,25.33,25.34,25.28,25.3,945154.0
2016-10-18,25.3,25.3299,25.27,25.32,1219271.0
2016-10-19,25.31,25.34,25.2815,25.33,1853029.0
2016-10-20,25.38,25.44,25.365,25.41,676320.0
2016-10-21,25.5,25.54,25.49,25.5,3574024.0
2016-10-24,25.49,25.55,25.48,25.53,721202.0
2016-10-25,25.6,25.62,25.49,25.52,1204381.0
2016-10-26,25.45,25.51,25.42,25.51,833819.0
2016-10-27,25.5,25.5939,25.48,25.56,1390325.0
2016-10-28,25.54,25.54,25.39,25.41,1992438.0
2016-10-31,25.48,25.51,25.42,25.42,1010035.0
2016-11-01,25.34,25.35,25.24,25.29,2885436.0
2016-11-02,25.19,25.21,25.12,25.2,1744286.0
2016-11-03,25.18,25.2,25.1,25.13,1328490.0
2016-11-04,25.14,25.15,25.06,25.06,940881.0
2016-11-07,25.25,25.31,25.25,25.27,2672709.0
2016-11-08,25.27,25.34,25.25,25.34,912209.0
2016-11-09,25.38,25.5,25.37,25.5,2429073.0
2016-11-10,25.57,25.62,25.5,25.55,2705395.0
2016-11-11,25.52,25.62,25.51,25.59,1098721.0
2016-11-14,25.83,25.9,25.8,25.84,7033292.0
2016-11-15,25.88,25.915,25.84,25.88,4437978.0
2016-11-16,25.91,25.995,25.8901,25.95,3750548.0
2016-11-17,25.91,26.1,25.91,26.1,2051758.0
2016-11-18,26.16,26.24,26.12,26.19,1549397.0
2016-11-21,26.11,26.17,26.0615,26.09,3162105.0
2016-11-22,26.11,26.2,26.09,26.13,2045228.0
2016-11-23,26.3,26.35,26.2501,26.29,2359799.0
2016-11-25,26.19,26.25,26.16,26.24,3108255.0
2016-11-28,26.24,26.2499,26.16,26.17,2103252.0
2016-11-29,26.21,26.222,26.08,26.11,1772330.0
2016-11-30,26.21,26.3201,26.19,26.25,3417026.0
2016-12-01,26.2,26.25,26.1,26.11,1638164.0
2016-12-02,26.07,26.1011,26.03,26.05,1791614.0
2016-12-05,25.96,25.98,25.805,25.88,4565684.0
2016-12-06,25.94,26.0,25.91,25.98,2428050.0
2016-12-07,25.96,25.96,25.89,25.9,1902592.0
2016-12-08,26.08,26.17,26.0399,26.13,2134990.0
2016-12-09,26.23,26.3,26.21,26.24,1499849.0
2016-12-12,26.12,26.1814,26.06,26.09,1717610.0
2016-12-13,26.1,26.14,26.04,26.12,1766731.0
2016-12-14,26.08,26.44,26.03,26.37,3032321.0
2016-12-15,26.59,26.76,26.57,26.66,3598856.0
2016-12-16,26.65,26.67,26.5,26.57,2103604.0
2016-12-19,26.6,26.656,26.5344,26.65,1333502.0
2016-12-20,26.75,26.7675,26.66,26.7,2896431.0
2016-12-21,26.59,26.645,26.56,26.62,1278790.0
2016-12-22,26.59,26.66,26.51,26.65,1713850.0
2016-12-23,26.65,26.667,26.59,26.63,909346.0
2016-12-27,26.65,26.65,26.62,26.62,655265.0
2016-12-28,26.73,26.77,26.66,26.69,1247437.0
2016-12-29,26.63,26.63,26.53,26.54,1331837.0
2016-12-30,26.44,26.46,26.35,26.46,1767608.0
2017-01-03,26.71,26.83,26.61,26.7,3455461.0
2017-01-04,26.57,26.59,26.465,26.5,3534316.0
2017-01-05,26.37,26.38,26.18,26.22,4268031.0
2017-01-06,26.39,26.44,26.295,26.41,3202459.0
2017-01-09,26.42,26.4399,26.31,26.34,3506071.0
2017-01-10,26.33,26.38,26.2644,26.35,2059975.0
2017-01-11,26.5,26.605,26.17,26.29,4496632.0
2017-01-12,26.13,26.229,26.05,26.19,2173915.0
2017-01-13,26.18,26.279,26.13,26.16,1828391.0
2017-01-17,25.93,25.97,25.91,25.92,3444290.0
2017-01-18,26.02,26.175,25.9685,26.16,3939621.0
2017-01-19,26.21,26.28,26.11,26.12,1595546.0
2017-01-20,26.13,26.17,26.02,26.03,11995970.0
2017-01-23,25.95,25.9911,25.86,25.89,2300566.0
2017-01-24,25.89,25.93,25.815,25.9,1638241.0
2017-01-25,25.89,25.91,25.81,25.81,2168661.0
2017-01-26,25.96,26.03,25.93,25.98,3848091.0
2017-01-27,25.95,26.0111,25.93,25.99,2262326.0
2017-01-30,26.05,26.06,25.91,25.94,1139182.0
2017-01-31,25.77,25.777,25.68,25.73,3569255.0
2017-02-01,25.82,25.85,25.71,25.75,4271287.0
2017-02-02,25.69,25.8,25.65,25.79,1361513.0
2017-02-03,25.82,25.82,25.71,25.78,2033204.0
2017-02-06,25.86,25.89,25.78,25.8,1703311.0
2017-02-07,25.96,26.0055,25.861,25.93,1600473.0
2017-02-08,25.9,25.92,25.8427,25.9,1412316.0
2017-02-09,25.9,26.01,25.89,26.0,1189525.0
2017-02-10,26.09,26.1,25.985,26.03,1022132.0
2017-02-13,26.08,26.12,26.07,26.09,1089619.0
2017-02-14,26.06,26.19,26.055,26.15,2502019.0
2017-02-15,26.24,26.2552,26.09,26.1,934412.0
2017-02-16,26.0,26.01,25.93,25.95,2129415.0
2017-02-17,25.96,26.08,25.96,26.08,999053.0
2017-02-21,26.21,26.25,26.17,26.2,1421798.0
