time,open,high,low,close,volume
2016-11-30,7.649,9.5549,7.004,9.0275,1247.6656025100003
2016-12-01,9.1124,9.1124,8.3579,8.5982,3251.99547541
2016-12-02,8.5111,8.5111,7.9128,8.2119,4260.38923307
2016-12-03,8.2119,8.46,8.0774,8.1,810.49581715
2016-12-04,8.2,8.4,7.76,7.76,1492.7304733
2016-12-05,7.8947,8.0658,7.6101,7.7836,476.8068305399999
2016-12-06,7.8469,7.89,7.0014,7.3231,2101.99185187
2016-12-07,7.424,7.9799,7.2601,7.8638,513.0614093600001
2016-12-08,7.8959,8.0058,7.6894,7.7923,148.73047129
2016-12-09,7.79,8.01,7.79,7.955,14.957334029999998
2016-12-10,7.974,7.9753,7.6501,7.7133,217.09719795999993
2016-12-11,7.765,8.054,7.72,7.9225,441.2845871699999
2016-12-12,7.9149,7.9865,7.8251,7.9865,925.44230691
2016-12-13,8.077,8.169,7.9298,8.169,274.49501767
2016-12-14,8.17,8.5499,8.118,8.4528,2204.7639383000005
2016-12-15,8.3512,8.4897,8.2667,8.4443,3389.392845720002
2016-12-16,8.4443,8.5117,8.3814,8.5117,601.25480638
2016-12-17,8.4722,8.4722,8.25,8.2648,1595.81862253
2016-12-18,8.4173,8.85,8.399,8.7303,883.7671788
2016-12-19,8.51,8.7234,8.39,8.7234,326.2058439499999
2016-12-20,8.7258,8.7258,8.36,8.39,2368.58405021
2016-12-21,8.3636,8.6344,8.2,8.3111,1989.837134459999
2016-12-22,8.4624,9.47,8.2689,8.9248,1894.5753955300004
2016-12-23,8.909,9.7,8.8888,9.5,2500.5051675299997
2016-12-24,9.55,9.7,9.4436,9.657,405.4335457800001
2016-12-25,9.6171,9.9493,9.2844,9.7,3684.465014849999
2016-12-26,9.7483,10.399,9.7483,10.25,3149.63128739
2016-12-27,10.299,13.0,10.151,12.619,6375.17852283
2016-12-28,12.835,14.75,12.048,14.372,4350.09160548
2016-12-29,14.0,14.358,12.285,13.1,1208.7055163699968
2016-12-30,13.001,13.3,12.1,12.749,627.41589011
2016-12-31,13.0,13.92,12.9,13.486,444.07848425
2017-01-01,13.648,14.1,13.45,13.882,1380.1684534799995
2017-01-02,13.886,17.4,13.777,16.196,6147.678207010001
2017-01-03,16.05,16.953,14.9,15.692,4417.38631634
2017-01-04,16.0,18.4,15.79,18.364,5230.694189799999
2017-01-05,18.071,18.6,14.001,15.8,7068.401810660001
2017-01-06,16.443,16.443,13.364,13.875,5972.1246259599975
2017-01-07,13.843,13.843,12.25,13.0,7695.892395220005
2017-01-08,13.0,13.9,12.842,13.553,1827.1828614099998
2017-01-09,13.403,13.695,12.718,13.694,4429.701551169997
2017-01-10,13.533,13.965,13.339,13.339,1247.0880307900004
2017-01-11,13.315,13.6,11.061,11.686,6521.67213896
2017-01-12,11.378,12.249,11.25,11.843,5781.688564379998
2017-01-13,11.867,12.0,10.932,11.293,4553.540829040002
2017-01-14,11.426,11.699,10.98,11.1,2387.6073055900006
2017-01-15,11.099,11.1,9.9,10.7,5087.918755010002
2017-01-16,10.699,11.0,10.304,10.6,3796.0006787800025
2017-01-17,10.6,15.7,10.5,12.364,13863.90056625
2017-01-18,12.362,12.7,11.6,12.031,1678.395909709999
2017-01-19,12.178,12.351,11.601,12.072,1095.5582076100009
2017-01-20,12.144,12.144,11.8,11.94,3249.634700119999
2017-01-21,11.93,12.274,11.874,12.11,6992.539702079999
2017-01-22,12.11,12.21,11.712,12.159,7753.4193154899995
2017-01-23,12.125,12.251,12.0,12.121,638.0009293200002
2017-01-24,12.083,12.21,11.671,11.713,16619.162682049988
2017-01-25,11.794,11.905,11.342,11.764,4766.129826310004
2017-01-26,11.781,12.147,11.621,11.855,773.7397108000016
2017-01-27,11.956,12.19,11.569,12.19,4245.767759699999
