time,open,high,low,close,volume
2017-05-19,0.37999,0.37999,0.25,0.32498,2130933.0088796103
2017-05-20,0.32499,0.37199,0.2911,0.34716,3608873.1289023543
2017-05-21,0.347,0.36998,0.32102,0.328,2597806.7755010473
2017-05-22,0.327,0.3358,0.25,0.29717,6474949.239428466
2017-05-23,0.29912,0.34991,0.28063,0.32158,3255225.478139081
2017-05-24,0.32,0.33304,0.2819,0.2886,4288168.025369318
2017-05-25,0.2886,0.29245,0.22899,0.2382,8004757.920914679
2017-05-26,0.2382,0.32126,0.23609,0.259,6493159.0548232
2017-05-27,0.25881,0.272,0.1445,0.20142,9369145.62064255
2017-05-28,0.20191,0.23438,0.19,0.21631,5838709.807428633
2017-05-29,0.21628,0.23795,0.20194,0.22499,3998030.9890366714
2017-05-30,0.22405,0.23128,0.19305,0.19823,3942879.5772489696
2017-05-31,0.19762,0.244,0.17869,0.23757,6349241.61520095
2017-06-01,0.236,0.3291,0.23387,0.32048,16032858.704375237
2017-06-02,0.32406,0.32437,0.26394,0.28406,6283984.71865451
2017-06-03,0.28397,0.295,0.26016,0.28057,3199897.026969857
2017-06-04,0.28379,0.30249,0.26015,0.28842,4488245.919630077
2017-06-05,0.28842,0.29286,0.27849,0.28304,1975113.3783121493
2017-06-06,0.2846,0.28988,0.26933,0.28112,6718638.420165138
2017-06-07,0.28011,0.29849,0.26839,0.2701,3658666.44321134
2017-06-08,0.27009,0.29576,0.26482,0.28249,2288428.19619042
2017-06-09,0.28426,0.2945,0.2793,0.28032,2379963.7788527375
2017-06-10,0.28036,0.2837,0.25051,0.251,5036157.2162649715
2017-06-11,0.251,0.27189,0.24987,0.26812,4243778.504492655
2017-06-12,0.27,0.2826,0.22001,0.23705,9026799.170415351
2017-06-13,0.23986,0.27544,0.23406,0.2597,3645353.140511035
2017-06-14,0.26,0.29554,0.24249,0.25418,7789503.937821612
2017-06-15,0.25585,0.26097,0.20347,0.24095,3947695.9223126546
2017-06-16,0.2385,0.25024,0.22514,0.24599,2175500.3145679063
2017-06-17,0.24601,0.26195,0.23475,0.257,3964957.7592832013
2017-06-18,0.257,0.27637,0.24347,0.26308,3994007.113991719
2017-06-19,0.264,0.28067,0.25806,0.28066,2812101.6365253283
2017-06-20,0.28066,0.3237,0.275,0.301,8805323.890543638
2017-06-21,0.29983,0.30863,0.25201,0.2691,4723583.148779244
2017-06-22,0.2691,0.28067,0.25823,0.2753,2745498.272218566
2017-06-23,0.2758,0.29474,0.27408,0.291,2893659.5564424032
2017-06-24,0.29071,0.2998,0.2612,0.26901,4036331.6089886585
2017-06-25,0.26968,0.27675,0.24596,0.255,2677183.8479693383
2017-06-26,0.2557,0.26195,0.219,0.24201,7477974.246673044
2017-06-27,0.24201,0.25794,0.216,0.25794,4938016.267551568
2017-06-28,0.25794,0.26645,0.24379,0.263,3326949.0260547604
2017-06-29,0.26297,0.2645,0.242,0.25019,2075640.7569198327
2017-06-30,0.24998,0.2581,0.2413,0.24216,2119465.4818929033
2017-07-01,0.2438,0.2451,0.2259,0.23252,1672767.3049487562
2017-07-02,0.23221,0.24868,0.22901,0.24662,1351885.0121938102
2017-07-03,0.24662,0.2561,0.24086,0.25064,3120909.588997482
2017-07-04,0.2502,0.25653,0.24453,0.246,1689291.7448466201
2017-07-05,0.246,0.25515,0.2422,0.24891,2147110.943806174
2017-07-06,0.25,0.25168,0.2463,0.24857,1579769.7406626712
2017-07-07,0.24857,0.2509,0.22648,0.22741,3397497.137226808
2017-07-08,0.22741,0.23212,0.209,0.23,3768598.196362479
2017-07-09,0.23,0.24255,0.2237,0.22401,1256072.7536126736
2017-07-10,0.22383,0.22497,0.17631,0.18556,6290978.220504593
2017-07-11,0.186,0.1964,0.148,0.17492,14101812.08984972
2017-07-12,0.17319,0.19604,0.16102,0.19456,7330791.006750871
2017-07-13,0.1962,0.21718,0.1785,0.1892,3735659.13007711
2017-07-14,0.19026,0.192,0.17254,0.18248,3260932.64926939
2017-07-15,0.1837,0.18397,0.17167,0.17255,3785017.2902421
2017-07-16,0.1724,0.1744,0.129,0.14707,13767657.49769105
2017-07-17,0.14873,0.17302,0.14337,0.17208,8257615.02389398
2017-07-18,0.173,0.1853,0.16,0.17816,3827882.21213794
2017-07-19,0.17805,0.184,0.15752,0.16259,3904395.10839825
2017-07-20,0.16259,0.19575,0.16259,0.18942,5098031.66538001
2017-07-21,0.19,0.19287,0.18187,0.18351,4018393.41991113
2017-07-22,0.1833,0.20199,0.18101,0.19764,5001855.21544336
2017-07-23,0.1979,0.20743,0.1865,0.1974,6440578.33296186
2017-07-24,0.19701,0.19881,0.19,0.19149,2549462.5454481
2017-07-25,0.19263,0.19356,0.16633,0.17344,5837549.68288151
2017-07-26,0.17479,0.179,0.16409,0.173,3569421.05906113
2017-07-27,0.173,0.17575,0.16889,0.172,2411110.59337019
2017-07-28,0.17277,0.17409,0.15608,0.16326,3553433.50944222
2017-07-29,0.16348,0.1715,0.15429,0.17011,2524893.85881548
2017-07-30,0.16941,0.17194,0.161,0.16416,2001615.96359026
2017-07-31,0.1619,0.168,0.15812,0.164,2621633.43123692
2017-08-01,0.1645,0.18496,0.1586,0.17733,7380861.30418538
2017-08-02,0.17733,0.18,0.16808,0.172,5618019.29007717
2017-08-03,0.1709,0.17773,0.16927,0.17438,2977948.88400095
2017-08-04,0.17438,0.177,0.17075,0.17383,3169065.44744586
2017-08-05,0.17383,0.192,0.17147,0.18444,9223312.21717661
2017-08-06,0.18444,0.1895,0.17804,0.17959,3862163.15120294
2017-08-07,0.18048,0.18228,0.1759,0.17722,6170897.94441121
2017-08-08,0.17883,0.19908,0.1767,0.196,11669174.87427602
2017-08-09,0.196,0.196,0.18,0.18396,6009788.69988771
2017-08-10,0.1835,0.18434,0.1777,0.17998,4859905.94015903
2017-08-11,0.18001,0.185,0.17546,0.17716,10269348.05586947
2017-08-12,0.17725,0.18246,0.17023,0.17051,7261712.70357815
2017-08-13,0.1719,0.17221,0.15844,0.16607,8482281.42326585
2017-08-14,0.16594,0.18049,0.16511,0.16792,6449953.45374354
2017-08-15,0.16792,0.16792,0.15179,0.1573,11082934.49236089
2017-08-16,0.15877,0.1606,0.14818,0.1606,12091304.99692964
2017-08-17,0.16036,0.16119,0.15351,0.15744,7204820.29124182
2017-08-18,0.15742,0.17147,0.1511,0.15674,15061709.08625574
2017-08-19,0.1571,0.1616,0.14738,0.1527,8762407.50558782
