desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx
rngrank[t-1]<=0.8 & gap[t-1]<=0.2 & gap[t-2]<=-0.2,strict,17,True,4.969063973189612,0.00034834479306555805,2599,156.0,0.0021287522481339945,0.9411764705882353,1.6705188243771627,0.5772727272727273,0.23529411764705882,1.833264263031115,0.03338164060432581,0.5,1.0,1.0,22,True,11.331849663096996,0.07125900868093778,3171,178.0,0.0008811173865398799,0.6818181818181818,1.0568710376706754,0.5177354291278342,0.0,1.0524820918949738,0.14628921124992877,0.7142857142857143,0.4444444444444444,1.0
rngrank[t-1]<=0.8 & gap[t-1]<=0.0 & gap[t-2]<=-0.2,strict,17,True,5.366737139198974,0.0012953948909104865,1941,114.0,0.0013087958959684051,0.9411764705882353,1.581861586848649,0.5921052631578947,0.11764705882352941,1.692630745356634,0.04526288752031949,0.5,1.0,1.0,22,True,7.607003535526891,0.037365070126631296,2369,119.5,0.0014098252295630526,0.6818181818181818,1.189176578933459,0.5194220062433623,0.09090909090909091,1.0479286220513921,0.14733574703270053,0.5714285714285714,0.5555555555555556,1.0
lower[t-1]>=0.2 & gap[t-2]<=-0.2 & chg[t-3]<=0.5,strict,17,True,6.283483235996137,5.898546657806155e-05,2224,136.0,0.0022957439857986773,0.9411764705882353,1.589494481310416,0.58,0.17647058823529413,2.340835404427165,0.00962032373305132,1.0,0.8888888888888888,1.0,21,True,12.277435444290274,0.14477293515483297,2471,144.0,-1.88859517783978e-05,0.47619047619047616,1.0208257571589214,0.4755244755244755,0.047619047619047616,0.8098203521555569,0.20902171683052534,0.5,0.3333333333333333,0.6666666666666666
opnpos[t-2]<=0.3 & rngrank[t-2]<=0.8 & chg[t-2]<=0.0 & close<prev_low,strict,16,True,8.828628147994978,0.0026106273580260445,273,14.5,0.0061308741369846985,0.9375,1.965175548195432,0.5962962962962963,0.125,2.074752829932444,0.019004724169683542,0.6666666666666666,1.0,1.0,17,True,8.50094539392552,0.1743126957285227,304,13.0,0.004124970688308244,0.6470588235294118,1.7315903242121558,0.5416666666666666,0.058823529411764705,0.6627789890237916,0.2537360560559248,0.5,0.6666666666666666,0.6666666666666666
clspos[t-3]>=0.3 & rngrank[t-2]<=0.3 & gap[t-1]<=-0.2 & close>prev_close,strict,16,True,3.5237854848175902,0.0006760174752636147,810,49.0,0.003304605953587985,1.0,1.652494102994317,0.5906984442237669,0.125,1.5039454012193805,0.06629771280207687,1.0,1.0,1.0,19,True,5.882755372840023,0.15317704946438182,804,50.0,0.0003739508594819618,0.5263157894736842,1.1176642763627789,0.5,0.05263157894736842,0.5691774662816539,0.2846178555973819,0.25,0.4444444444444444,0.8333333333333334
gap[t-1]<=-0.2 & gap[t-2]>=-0.2 & chg[t-2]<=0.0 & close>prev_high,open,15,True,4.99767882262442,0.00010277804349230822,424,29.0,0.005260319117207134,1.0,2.054101376108178,0.6071428571428571,0.2,2.1426777654671367,0.01606949097829162,,1.0,1.0,15,True,4.037279853310614,0.17587672136637422,406,28.0,0.0014562272420450824,0.6666666666666666,1.230418032056951,0.52,0.06666666666666667,0.48310192366920823,0.3145116841283634,,0.4444444444444444,1.0
lower[t-2]<=0.5 & opnpos[t-2]<=0.3 & chg[t-2]<=0.0 & close<prev_low,strict,16,True,8.79247180352399,0.003526650929605521,313,17.5,0.006261564784247548,0.9375,2.0144269699847763,0.5854700854700855,0.0,1.9973041925578818,0.022896074099380145,0.6666666666666666,1.0,1.0,20,True,10.451762934133052,0.28323976129698725,370,15.0,0.0033670698845975873,0.6,1.199438886383231,0.532563025210084,0.1,0.41439954114534894,0.33929076246049306,0.4,0.6666666666666666,0.6666666666666666
lower[t-2]<=0.35 & opnpos[t-2]<=0.3 & chg[t-2]<=0.0 & close<prev_low,strict,16,True,8.79247180352399,0.00321076619049135,313,17.5,0.006261564784247548,0.9375,2.0144269699847763,0.5854700854700855,0.0,2.020377646064486,0.021672115161158773,0.6666666666666666,1.0,1.0,20,True,10.451762934133052,0.2911580177021013,370,15.0,0.0033670698845975873,0.6,1.199438886383231,0.532563025210084,0.1,0.3975999398126369,0.34546255244672613,0.4,0.6666666666666666,0.6666666666666666
body[t-3]<=0.7 & rngrank[t-1]<=0.5 & gap[t-2]<=-0.2,strict,17,True,8.099337699692597,0.002251695806185409,2330,126.0,0.0015941448474276476,0.9411764705882353,1.5466419771670168,0.5686274509803921,0.058823529411764705,1.9606712668302304,0.024958691479162593,1.0,1.0,0.8333333333333334,21,True,6.801641060548356,0.28240438065736034,2440,130.0,-0.00023121266067956895,0.42857142857142855,1.0574167689084204,0.5086206896551724,0.047619047619047616,0.32764513099865605,0.3715899971127326,0.5,0.2222222222222222,0.6666666666666666
opnpos[t-3]<=0.7 & gap[t-1]<=-0.2 & chg[t-2]<=0.5,strict,18,True,10.39343090047622,0.00038974401268818766,2581,159.5,0.002067069246393931,0.9444444444444444,1.5058156521597241,0.5514934289127837,0.1111111111111111,2.553169168468949,0.005337381758436845,0.6666666666666666,1.0,1.0,22,True,6.776621422838238,0.2818585208484552,3010,174.5,0.0005684089068350353,0.5909090909090909,1.103817864718491,0.5,0.0,0.3204194356852241,0.37432519702143563,0.7142857142857143,0.4444444444444444,0.6666666666666666
