desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx,OOS_reason
lower[t-1]>=0.35 & gap[t-1]>=0.2 & gap[t-2]<=0.0 & close>high3,open,15,True,5.8963930880065485,0.005514344194964024,282,16.0,0.005932918290855944,1.0,1.5091456826044942,0.5714285714285714,0.0,1.5936281653976812,0.05550967110059285,,1.0,1.0,15,True,8.206188743005534,0.01028532642427237,287.0,20.0,0.0029416983031646327,0.8,1.5337580721938797,0.55,0.06666666666666667,1.7128571823878296,0.04336940856975843,,0.8888888888888888,0.6666666666666666,
lower[t-2]>=0.5 & clspos[t-1]>=0.5 & gap[t-2]>=0.2,strict,16,True,4.938910723299278,6.903923548634238e-06,668,38.5,0.00796570600849823,0.9375,1.775099326773168,0.5720946915351506,0.1875,2.415097763291444,0.007865493383759628,1.0,1.0,0.8333333333333334,15,True,5.450676806235531,0.006319446692698652,618.0,44.0,0.0029770990897369353,0.9333333333333333,1.6155016498808643,0.5909090909090909,0.0,1.50327579031651,0.06638397020473968,,0.8888888888888888,1.0,
upper[t-2]<=0.35 & gap[t-3]>=0.2 & chg[t-1]<=0.5 & close>high3,open,15,True,4.7840820042888295,0.0055885612668517895,529,31.0,0.004132677689872506,1.0,1.7594933205432686,0.6,0.0,1.432825487411445,0.07595385781208645,,1.0,1.0,15,True,6.264797271619623,0.013501517360748666,557.0,41.0,0.003886263984459469,0.6666666666666666,1.77831830079311,0.59375,0.13333333333333333,1.429189138187536,0.07647493937296992,,0.8888888888888888,0.3333333333333333,
upper[t-2]>=0.2 & lower[t-2]>=0.35 & lower[t-3]>=0.5 & close>high3,open,16,True,12.321987342751003,5.231400122150892e-05,192,11.5,0.0179068710653157,0.9375,1.752028950446622,0.5192307692307692,0.125,3.4046105212602313,0.0003312924095167867,0.9090909090909091,1.0,,16,True,16.0,0.10131628820854477,158.0,9.0,0.0038952583415067096,0.5625,1.323395795686525,0.5555555555555556,0.0625,1.2740870244729978,0.10131628820854477,0.2857142857142857,0.8333333333333334,0.6666666666666666,
lower[t-2]>=0.35 & clspos[t-1]>=0.7 & gap[t-2]>=0.2,strict,16,True,3.705644593741555,7.517576560310499e-06,886,54.0,0.005308247373657661,1.0,1.5303573589384907,0.5723837209302325,0.25,2.082938637253832,0.018628408601781592,1.0,1.0,1.0,15,True,8.566102471726353,0.048680707145094586,853.0,60.0,0.0009002046168406657,0.7333333333333333,1.4314124695880497,0.53125,0.13333333333333333,1.252776224563107,0.10514357826844134,,0.7777777777777778,0.6666666666666666,
lower[t-1]>=0.5 & lower[t-2]>=0.5 & chg[t-1]>=0.0 & close>prev_close,strict,16,True,16.0,5.563784620587928e-06,215,12.0,0.012694278768013125,0.9375,2.9701527433972936,0.5994318181818181,0.3125,4.394015859735148,5.563784620587928e-06,0.8888888888888888,1.0,1.0,21,True,21.0,0.1096162284909678,251.0,11.0,0.0015441170405118157,0.5714285714285714,0.976730102942216,0.47058823529411764,0.0,1.2285716319665294,0.1096162284909678,0.6,0.42857142857142855,0.75,
lower[t-2]>=0.5 & rngrank[t-3]<=0.8 & gap[t-2]>=0.2,open,16,True,4.156430237083564,2.1145827973805604e-07,1012,66.0,0.006462863157787939,0.9375,1.5033640468241167,0.5915071770334928,0.3125,2.5781517718762816,0.004966517984225789,1.0,0.8888888888888888,1.0,17,True,6.000340933349635,0.023247519039638447,928.0,57.0,0.002367757580235336,0.6470588235294118,1.2696379696992843,0.5692307692307692,0.11764705882352941,1.1827873990585174,0.11844670790134126,0.5,0.6666666666666666,0.6666666666666666,
body[t-1]<=0.3 & lower[t-3]>=0.2 & gap[t-2]<=-0.2 & close>prev_close,open,16,True,6.0343947329753025,2.5997457513720714e-05,537,34.0,0.008951529827339572,0.9375,1.843345500882155,0.5478571428571428,0.1875,2.4850413060612837,0.006476820163504185,0.0,1.0,1.0,16,True,5.719546258748161,0.03822655556309897,615.0,40.5,0.00016782799832460024,0.625,1.3420244082088562,0.5732323232323233,0.125,1.0592490447341885,0.14474318717143703,1.0,0.5555555555555556,0.6666666666666666,
upper[t-2]<=0.35 & gap[t-1]<=0.0 & gap[t-3]>=0.2 & close>high3,open,15,True,4.573523827224177,3.330511583955683e-05,374,24.0,0.0054608641211423775,1.0,1.8299046155054015,0.6,0.13333333333333333,2.2021337551890277,0.013827930860434594,,1.0,1.0,15,True,5.734680786003406,0.05608079229160873,378.0,27.0,0.00258798812188371,0.7333333333333333,1.752439822173794,0.5882352941176471,0.06666666666666667,0.9822237148386155,0.16299482343918847,,0.8888888888888888,0.5,
opnpos[t-1]<=0.3 & gap[t-1]<=-0.2 & gap[t-3]>=0.2 & close>prev_high,open,15,True,7.42517315109909,0.009312934826288043,300,18.0,0.005696121834998803,1.0,1.869630682106497,0.5666666666666667,0.0,1.6554560942187166,0.04891600776448728,,1.0,1.0,15,True,7.519872063727252,0.09612824988591506,289.0,19.0,0.003793069857878535,0.7333333333333333,1.8453844230769363,0.6538461538461539,0.06666666666666667,0.9232404041865404,0.17794096865432246,,1.0,0.3333333333333333,
