desc,trigger,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx
upper[t-2]>=0.2 & gap[t-3]>=0.2 & close<prev_low,close<prev_low,16,True,3.5631829171232163,0.00013482618759208626,944,58.0,0.003598615712615333,1.0,1.478695777976883,0.572294776119403,0.25,1.7190895133832054,0.04279903698761401,1.0,1.0,1.0,16,True,4.119430718140868,0.018799557902698112,953,60.0,0.0024234871788485863,0.6875,1.2700374172838367,0.5083333333333333,0.125,1.05500507568032,0.1457115016918144,1.0,0.7777777777777778,0.5
chg[t-1]>=0.5 & chg[t-3]<=-0.5 & close>high3,close>high3,28,True,8.281265472591276,5.263179392669405e-06,620,21.0,0.00841945070634553,0.9642857142857143,1.7983153270045373,0.5532150776053215,0.10714285714285714,2.3961864213706776,0.008283331044061266,1.0,0.8888888888888888,1.0,30,True,6.525906030617701,0.18192305269856213,765,23.0,0.0015217942125270816,0.5333333333333333,0.8586340141457085,0.46906887755102045,0.1,0.4235207602217098,0.3359576775635901,0.4666666666666667,0.6666666666666666,0.5
rngrank[t-1]<=0.3 & gap[t-2]<=-0.2 & close<prev_low,close<prev_low,16,True,3.8699110184372785,0.0012211014190173144,559,27.0,0.005138567290318063,0.9375,1.6710049559294857,0.5709401709401709,0.125,1.4903634319221832,0.06806435107797858,0.0,1.0,1.0,16,True,3.9132646574510073,0.37364813975194744,607,33.0,0.0004834062549437221,0.5625,0.9970462606395931,0.48958333333333337,0.0625,0.15934699675859454,0.4366977478436008,0.0,0.6666666666666666,0.5
rngrank[t-1]<=0.5 & gap[t-2]<=-0.2 & close<prev_low,close<prev_low,16,True,3.195157200958459,0.00015813941954470148,873,45.0,0.00431358784144069,0.9375,1.6177899377444072,0.5558978873239437,0.125,1.6094600554729055,0.053757891288638414,0.0,1.0,1.0,16,True,2.9470000036641872,0.043755954076606624,975,54.0,0.0016462927906645865,0.6875,1.195822163706163,0.5,0.125,0.7333115515565732,0.23168421557968955,0.0,0.8888888888888888,0.5
rngrank[t-2]>=0.8 & chg[t-1]>=-0.5 & close<prev_low,close<prev_low,30,True,3.850216564950939,1.3450591832120863e-07,1505,49.5,0.007047833731864038,0.9333333333333333,1.3256339844464677,0.4888003982080637,0.1,1.842804396715895,0.03267878732420999,0.9333333333333333,1.0,0.8333333333333334,30,True,3.852552668786535,0.019352492318793407,1635,53.5,0.0008607026465914354,0.6333333333333333,0.8541899527296153,0.4134295227524972,0.1,0.740831088403445,0.22939793139720438,0.5333333333333333,0.6666666666666666,0.8333333333333334
rngrank[t-1]>=0.3 & chg[t-2]<=-0.5 & close>high3,close>high3,30,True,9.948641667217544,1.5843773392539688e-05,642,20.5,0.005816096801658663,0.9333333333333333,1.5310300182415126,0.4625,0.16666666666666666,2.3961698544748558,0.008283705467890163,0.9333333333333333,1.0,0.8333333333333334,30,True,7.3360650295170675,0.35264101531615366,748,24.0,0.001980731957408604,0.5333333333333333,0.9846881340424014,0.46886446886446886,0.0,0.1870219045590316,0.4258217292985149,0.6,0.6666666666666666,0.16666666666666666
rngrank[t-3]<=0.3 & gap[t-1]<=-0.2 & close>prev_high,close>prev_high,15,True,3.744019757169459,0.007446593612550758,595,38.0,0.00394834138259066,0.9333333333333333,1.6479179524321823,0.5952380952380952,0.06666666666666667,1.216511855460174,0.11189499881473663,,1.0,0.8333333333333334,15,True,3.3638336279551333,0.9660396374479269,555,34.0,-0.0030133127043422254,0.2,0.8950599085449075,0.4782608695652174,0.0,-0.864492384575567,0.8063412690052161,,0.1111111111111111,0.3333333333333333
rngrank[t-2]>=0.8 & gap[t-2]<=0.0 & close<prev_low,close<prev_low,30,True,4.31882272659246,7.495766287561794e-06,1046,34.5,0.007438512115245415,0.9,1.4069125461488947,0.4824242424242424,0.16666666666666666,1.6424451003353588,0.05024889739411124,0.9333333333333333,0.8888888888888888,0.8333333333333334,30,True,4.869608159225776,0.01775751444414724,983,31.5,0.0037040464456137,0.6666666666666666,0.9536431767904401,0.4625,0.03333333333333333,0.8470505603179749,0.19848347019922102,0.6,0.7777777777777778,0.6666666666666666
chg[t-1]>=0.0 & chg[t-3]<=-0.5 & close>high3,close>high3,30,True,6.430307418010737,2.2784752546703753e-05,1045,32.0,0.006431618868151134,0.9,1.3113193720209608,0.5321750321750323,0.06666666666666667,1.8876595049821248,0.02953583802950943,0.9333333333333333,0.7777777777777778,1.0,30,True,4.725703394525888,0.4383779210477649,1171,36.5,-0.0007538299388981423,0.43333333333333335,0.8007021860539153,0.43669871794871795,0.03333333333333333,0.061551259667240746,0.4754600962238925,0.4666666666666667,0.5555555555555556,0.16666666666666666
gap[t-1]>=-0.2 & chg[t-3]<=-0.5 & close>high3,close>high3,30,True,7.201838668320782,5.95258995032092e-06,1149,37.5,0.005984823795352931,0.9,1.3482630526972352,0.5358974358974359,0.13333333333333333,2.145692378555192,0.015948764824434174,0.9333333333333333,0.8888888888888888,0.8333333333333334,30,True,4.392582141824316,0.601062790332658,1278,41.0,-0.0005966155649977376,0.43333333333333335,0.8673228170478225,0.41369047619047616,0.06666666666666667,-0.09799572848709633,0.5390321573915784,0.4666666666666667,0.5555555555555556,0.16666666666666666
opnpos[t-3]<=0.5 & chg[t-2]<=0.0 & close<prev_low,close<prev_low,30,True,3.5301662623648755,1.5597754625091073e-05,2310,75.0,0.004444266687159676,0.9,1.2582533767125812,0.47158724008782127,0.1,1.428584590018255,0.07656183293970269,0.9333333333333333,0.8888888888888888,0.8333333333333334,30,True,2.665034218195578,0.13327639099616706,2591,82.5,0.0007054020164774709,0.5333333333333333,0.9256757801903435,0.45140653357531757,0.1,0.33114558100967956,0.37026726167167173,0.3333333333333333,1.0,0.3333333333333333
opnpos[t-1]<=0.7 & gap[t-2]<=0.2,none,30,True,5.24411990974766,0.0019234099711663115,22681,592.5,0.0008267618269917516,0.9,0.945735465281067,0.4294483322511603,0.1,1.208487637240981,0.11342987414057565,0.9333333333333333,0.8888888888888888,0.8333333333333334,30,True,3.846643549279011,0.9984847182671884,23967,654.5,-0.0006805372054206897,0.23333333333333334,0.8104676661600518,0.43679189510936905,0.0,-1.0615720589144146,0.8557849980723052,0.26666666666666666,0.1111111111111111,0.3333333333333333
gap[t-2]<=0.0 & chg[t-2]<=-0.5 & close>high3,close>high3,29,True,8.582014551166779,4.614171915905297e-06,645,20.0,0.01064727505225472,0.896551724137931,1.6975913226163906,0.5192307692307693,0.13793103448275862,2.412353339123242,0.007924956368884213,0.9285714285714286,0.8888888888888888,0.8333333333333334,29,True,6.983618805604848,0.29750635288353255,703,20.0,0.0018913981326631425,0.5172413793103449,1.045890298055641,0.5,0.06896551724137931,0.26086443076976795,0.39709852773100307,0.7142857142857143,0.4444444444444444,0.16666666666666666
rngrank[t-1]<=0.8 & gap[t-2]<=-0.2,none,19,True,4.034910172842823,0.0008749471490616481,4455,238.0,0.002170552004402879,0.8947368421052632,1.2597443999107443,0.5451807228915663,0.10526315789473684,1.4422541308061827,0.07461534749534506,0.5,1.0,1.0,22,True,4.537750383292895,0.13990616554700736,4975,270.0,0.0008785348222286387,0.6363636363636364,1.164847099364667,0.5034118065795494,0.0,0.4908294311497684,0.31177354607648805,0.8571428571428571,0.6666666666666666,0.3333333333333333
rngrank[t-1]<=0.5 & rngrank[t-2]>=0.8 & close<prev_low,close<prev_low,28,True,8.245948647491272,2.6977618812026895e-05,539,17.0,0.0071669485561475154,0.8928571428571429,1.351925478755949,0.5393939393939393,0.10714285714285714,2.1912196130548494,0.014217951982390677,0.7692307692307693,1.0,1.0,30,True,6.418832303723912,0.3609753512226179,698,22.5,0.0016239023447363033,0.6,1.0068984488954174,0.42365967365967366,0.0,0.16460307422987,0.43462820567029675,0.3333333333333333,1.0,0.6666666666666666
rngrank[t-2]<=0.5 & gap[t-2]<=-0.2,none,17,True,4.261249358914469,0.00696338538842386,2708,158.0,0.0015668536944949112,0.8823529411764706,1.3007992172115195,0.5489130434782609,0.058823529411764705,1.231199544333375,0.10912412090294504,0.5,1.0,0.8333333333333334,22,True,6.250550978007139,0.024938892911309945,3126,160.5,0.0009728481580807047,0.7727272727272727,1.1483098936435123,0.5170626601444211,0.13636363636363635,1.0452682348747864,0.1479495072375322,0.8571428571428571,0.7777777777777778,0.6666666666666666
rngrank[t-3]<=0.3 & gap[t-2]<=-0.2 & close<prev_low,close<prev_low,16,True,3.7323715862895726,3.224268606507128e-07,521,26.5,0.006963924721671242,0.875,2.1326528149615696,0.6105769230769231,0.375,2.403942976364188,0.008109651536341592,0.0,1.0,0.8333333333333334,17,True,3.46328536366033,0.39175088881609116,639,36.0,5.2090796578673545e-05,0.5294117647058824,1.1671942867491523,0.4722222222222222,0.0,0.12401403180208116,0.450652082528937,0.5,0.5555555555555556,0.5
rngrank[t-3]<=0.3 & gap[t-3]<=-0.2 & close>prev_high,close>prev_high,16,True,3.315581426888884,0.0010457753970270398,546,30.5,0.006326066534656923,0.875,2.033449170207963,0.6309370988446728,0.125,1.4006683888051987,0.08065662988760458,0.0,1.0,0.8333333333333334,16,True,3.982269300227728,0.32519651636813685,551,31.0,-9.770088106758758e-05,0.5,1.1816283604559645,0.5311355311355311,0.0625,0.22610532681386097,0.41055975083524693,0.0,0.5555555555555556,0.5
rngrank[t-3]<=0.3 & gap[t-3]<=-0.2 & close>prev_close,close>prev_close,16,True,4.050080537434248,0.005652247199762532,901,51.5,0.004508107522134393,0.875,1.7855041414265802,0.5911803713527851,0.0,1.2744754740581854,0.10124747962395753,0.0,1.0,0.8333333333333334,16,True,3.9504193238325853,0.6959195379468235,899,51.5,-0.00034435723479532803,0.5,1.1692121441030543,0.5184770436730123,0.0,-0.25475648388187117,0.6005444063485142,0.0,0.6666666666666666,0.3333333333333333
rngrank[t-3]<=0.3 & gap[t-1]<=-0.2 & close>prev_close,close>prev_close,16,True,4.205689858434193,0.00043588727213287736,953,56.5,0.004412962925291203,0.875,1.6949087246069263,0.6297429620563035,0.1875,1.7067286727788928,0.04393624762932131,1.0,1.0,0.6666666666666666,18,True,4.145909345599699,0.9790140924087336,940,50.0,-0.004195758433067885,0.2222222222222222,0.9094028059182601,0.4806060606060606,0.0,-0.9760718414082151,0.8354855678505271,0.6666666666666666,0.1111111111111111,0.16666666666666666
gap[t-3]>=0.2 & chg[t-1]>=-0.5 & close<prev_low,close<prev_low,16,True,3.4827530763482364,7.989818683778155e-05,1316,81.0,0.004331000730345164,0.875,1.4845793914893375,0.5693442360109027,0.1875,1.761392725176686,0.03908597774122445,1.0,0.8888888888888888,0.8333333333333334,17,True,3.8927925344811674,0.02871942317541786,1269,75.0,0.001329790225557724,0.5882352941176471,1.274540813763188,0.5185185185185185,0.11764705882352941,0.9091798359589773,0.18162760304333647,0.5,0.5555555555555556,0.6666666666666666
gap[t-2]<=0.2 & gap[t-3]>=0.2 & close<prev_low,close<prev_low,16,True,3.7994064561431244,2.5202773247547765e-07,1227,75.5,0.0041987506942035725,0.875,1.4831322808730265,0.5840116279069767,0.375,2.4485751705050434,0.007171124964698721,0.0,1.0,0.8333333333333334,17,True,3.0733780022568533,0.2672510329579202,1235,71.0,0.0003916548681740066,0.5294117647058824,1.1614079560244146,0.49295774647887325,0.17647058823529413,0.2641063328390273,0.3958489920998827,0.5,0.5555555555555556,0.5
gap[t-2]<=0.0 & gap[t-3]>=0.2 & close<prev_low,close<prev_low,16,True,3.514027474758255,4.8911763884278645e-06,961,56.5,0.003964763587243954,0.875,1.5809329063551603,0.5744206773618539,0.3125,2.072308301721859,0.019118349357677984,0.0,1.0,0.8333333333333334,16,True,2.8774071764433398,0.08086423171942964,943,54.0,0.0015025212824544276,0.5625,1.1599741978661156,0.4983281086729363,0.1875,0.5933977402910539,0.2764575004102403,1.0,0.6666666666666666,0.3333333333333333
gap[t-1]>=0.0 & gap[t-2]<=-0.2 & close<prev_low,close<prev_low,16,True,3.8989338150675428,0.0024862979576955042,906,52.0,0.003515746461530198,0.875,1.5027984380097155,0.5542136339237789,0.1875,1.3865461396511114,0.0827901008222528,0.0,1.0,0.8333333333333334,16,True,2.423165405431311,1.3228642748696317e-05,906,46.5,0.003353819622042462,0.75,1.6959866421950207,0.5420506912442395,0.375,1.635261006732717,0.050997172026209535,0.0,1.0,0.5
