desc,pool,IS_n_assets,IS_ok,IS_n_eff,IS_combined_p_naive,IS_trades,IS_trades_per_asset,IS_edge_med,IS_edge_pos,IS_pf_med,IS_win_med,IS_sig_frac,IS_combined_z,IS_combined_p,IS_edge_pos_crypto,IS_edge_pos_equity,IS_edge_pos_cfx,OOS_n_assets,OOS_ok,OOS_n_eff,OOS_combined_p_naive,OOS_trades,OOS_trades_per_asset,OOS_edge_med,OOS_edge_pos,OOS_pf_med,OOS_win_med,OOS_sig_frac,OOS_combined_z,OOS_combined_p,OOS_edge_pos_crypto,OOS_edge_pos_equity,OOS_edge_pos_cfx
lower[t-3]<=0.5 & gap[t-1]>=0.0 & gap[t-2]<=-0.2 & close<prev_low,open,15,True,2.7566249222474557,3.4357725619621155e-05,749,48.0,0.0041020121926964685,1.0,1.806669512813855,0.5652173913043478,0.26666666666666666,1.7064815275740972,0.04395923136968575,,1.0,1.0,16,True,2.4942523204111056,0.0001168180711880373,753,39.0,0.00430418176575181,0.6875,1.6361721522105166,0.542486231313926,0.3125,1.4528011139329298,0.07313949129779702,0.0,0.7777777777777778,0.6666666666666666
clspos[t-1]<=0.5 & clspos[t-3]<=0.5 & gap[t-3]<=-0.2 & close<prev_low,open,15,True,2.478847028497988,0.00030228558635299785,428,25.0,0.004584660379129574,1.0,1.4753385517472952,0.5757575757575758,0.2,1.3941742165243636,0.08163250095446162,,1.0,1.0,15,True,3.04682334685811,0.0017389363817138345,531,29.0,0.005636965736702926,0.7333333333333333,1.5549034979400207,0.5517241379310345,0.2,1.316918161551981,0.09393302903561845,,0.7777777777777778,0.6666666666666666
lower[t-2]>=0.2 & rngrank[t-1]<=0.5 & rngrank[t-2]>=0.8 & close<prev_low,open,21,True,7.75550419942906,2.403007202585577e-05,230,9.0,0.007770261270931428,0.9523809523809523,1.7532493651341223,0.5454545454545454,0.09523809523809523,2.470253733401888,0.006750862358929845,0.9,1.0,1.0,24,True,13.250192448186798,0.051212157550647563,265,10.0,0.006147121493440383,0.6666666666666666,1.692462291679623,0.5,0.08333333333333333,1.2135234229684553,0.11246488233576651,0.45454545454545453,1.0,0.6
body[t-3]<=0.5 & opnpos[t-1]<=0.7 & chg[t-3]>=0.5 & close<prev_low,open,20,True,8.929401565919038,2.2837228496873967e-05,434,17.5,0.00760911805276095,0.95,1.7679506058942347,0.5726495726495726,0.15,2.7240030917132536,0.003224795136411256,0.8,1.0,1.0,25,True,9.595067379056434,0.031691825269845944,473,15.0,0.00396730631986008,0.68,1.0199385202861155,0.46875,0.12,1.1501296058051667,0.12504524709027354,0.8,0.5555555555555556,0.6666666666666666
lower[t-2]<=0.5 & rngrank[t-1]<=0.8 & gap[t-3]<=-0.2 & close<prev_low,strict,16,True,3.141303873747405,0.00019107820157799585,936,50.0,0.0037670497899441836,1.0,1.5252461653541642,0.551984126984127,0.125,1.573915010427858,0.05775354960888969,1.0,1.0,1.0,17,True,4.344849965251479,0.012963292290250878,1251,68.0,0.002338978286115967,0.8235294117647058,1.4128570188605711,0.5217391304347826,0.058823529411764705,1.1260133364742693,0.13007993717452931,1.0,0.7777777777777778,0.8333333333333334
body[t-2]>=0.3 & gap[t-1]>=0.0 & gap[t-2]<=-0.2 & close<prev_low,open,15,True,3.8493716914673533,5.9805833336149355e-05,602,35.0,0.006021888208165894,1.0,1.6949003904433897,0.5625,0.13333333333333333,1.9487787144434006,0.025660928391722578,,1.0,1.0,16,True,2.9299672572538116,0.004647795195167164,614,32.0,0.0032893448454571848,0.625,1.6029914220634702,0.5580778301886793,0.1875,1.1130370433461767,0.1328462601864972,0.0,0.7777777777777778,0.5
upper[t-1]>=0.35 & rngrank[t-1]>=0.3 & chg[t-1]>=-0.5 & close<prev_low,strict,30,True,3.571650195283643,1.7221748731925702e-08,1533,50.0,0.006323302443787561,0.9666666666666667,1.3391422728474152,0.4883720930232558,0.16666666666666666,1.9036753937661377,0.028476236496747635,0.9333333333333333,1.0,1.0,30,True,3.5962281777058798,0.0007636585326345324,1748,56.0,0.0032005089953818025,0.6333333333333333,0.9964139907420531,0.4512966476913346,0.16666666666666666,1.0973517519604992,0.13624382800245094,0.6,0.5555555555555556,0.8333333333333334
upper[t-2]>=0.2 & clspos[t-2]<=0.85 & gap[t-3]>=0.2 & close<prev_low,strict,16,True,3.5631829171232163,0.0001480585157771645,944,58.0,0.003598615712615333,1.0,1.478695777976883,0.572294776119403,0.25,1.7076877324435222,0.04384714980595659,1.0,1.0,1.0,16,True,4.119430718140868,0.022611482682033033,953,60.0,0.0024234871788485863,0.6875,1.2700374172838367,0.5083333333333333,0.125,1.0161254289774062,0.15478483059801434,1.0,0.7777777777777778,0.5
body[t-2]<=0.7 & upper[t-2]>=0.2 & gap[t-3]>=0.2 & close<prev_low,strict,16,True,3.363723176283658,0.00025742583145047405,909,56.0,0.0030732204670700612,1.0,1.3859777235653177,0.563508064516129,0.1875,1.592367923117999,0.055651029633701554,1.0,1.0,1.0,16,True,3.899262036505708,0.021305371965330597,912,58.0,0.0030947196968442673,0.6875,1.3072873500545263,0.5172413793103449,0.125,1.0009059189030045,0.15843614736949096,1.0,0.7777777777777778,0.5
opnpos[t-1]<=0.5 & rngrank[t-3]<=0.5 & gap[t-2]<=-0.2 & close<prev_low,open,15,True,5.505258690777015,0.0001277305035304972,375,20.0,0.00629973996901617,1.0,1.7675247508033727,0.6111111111111112,0.2,2.215313532778179,0.013369275810160359,,1.0,1.0,16,True,4.440644191582603,0.030120324312392588,387,21.5,0.0020203901289620324,0.6875,1.4651066738483416,0.5487329434697856,0.125,0.9899113072750931,0.16110873610861692,0.0,0.6666666666666666,0.8333333333333334
